,date,count_commits,count_issues,count_pulls,price
0,2010-12-20,2,3,1,0.2401
1,2010-12-21,3,3,2,0.267
2,2010-12-22,3,7,3,0.24
3,2010-12-23,3,7,3,0.25
4,2010-12-24,3,7,3,0.25
5,2010-12-25,3,7,3,0.248
6,2010-12-26,3,7,3,0.2499
7,2010-12-27,3,7,3,0.265
8,2010-12-28,3,7,3,0.265
9,2010-12-29,3,7,3,0.281
10,2010-12-30,3,7,3,0.3
11,2010-12-31,3,7,3,0.3
12,2011-01-01,3,7,3,0.3
13,2011-01-02,3,7,3,0.3
14,2011-01-03,4,7,3,0.3
15,2011-01-04,4,7,3,0.295
16,2011-01-05,5,8,4,0.2989
17,2011-01-06,6,9,4,0.299
18,2011-01-07,7,9,6,0.298
19,2011-01-08,7,9,6,0.32
20,2011-01-09,7,9,6,0.3229
21,2011-01-10,8,10,7,0.323
22,2011-01-11,8,10,7,0.3266
23,2011-01-12,8,10,7,0.3266
24,2011-01-13,8,10,7,0.3188
25,2011-01-14,9,11,9,0.3176
26,2011-01-15,9,11,9,0.4
27,2011-01-16,9,11,9,0.386
28,2011-01-17,9,11,9,0.3868
29,2011-01-18,13,11,9,0.3495
30,2011-01-19,16,11,10,0.313
31,2011-01-20,25,13,14,0.313
32,2011-01-21,31,13,16,0.39
33,2011-01-22,32,13,16,0.4199
34,2011-01-23,33,13,17,0.4443
35,2011-01-24,35,13,18,0.4424
36,2011-01-25,37,13,18,0.4199
37,2011-01-26,37,13,18,0.41
38,2011-01-27,37,13,18,0.417
39,2011-01-28,37,13,18,0.4212
40,2011-01-29,37,13,18,0.446
41,2011-01-30,37,13,18,0.439
42,2011-01-31,39,13,21,0.4799
43,2011-02-01,40,13,22,0.52
44,2011-02-02,40,13,22,0.7
45,2011-02-03,40,13,23,0.716
46,2011-02-04,40,13,23,0.69
47,2011-02-05,40,13,23,0.811
48,2011-02-06,40,13,23,0.92
49,2011-02-07,40,14,23,0.8997
50,2011-02-08,40,14,23,0.89
51,2011-02-09,40,14,23,0.918
52,2011-02-10,40,15,25,1.09
53,2011-02-11,41,16,25,0.9803
54,2011-02-12,41,16,25,1.07
55,2011-02-13,41,16,25,1.08
56,2011-02-14,42,19,25,1.05
57,2011-02-15,42,19,25,1.07
58,2011-02-16,44,19,26,1.05
59,2011-02-17,45,19,26,1.05
60,2011-02-18,48,19,26,1.04
