date,count_commits,count_issues,count_pulls
2010-12-20,2,3,1
2010-12-21,3,3,2
2010-12-22,3,7,3
2010-12-23,3,7,3
2010-12-24,3,7,3
2010-12-25,3,7,3
2010-12-26,3,7,3
2010-12-27,3,7,3
2010-12-28,3,7,3
2010-12-29,3,7,3
2010-12-30,3,7,3
2010-12-31,3,7,3
2011-01-01,3,7,3
2011-01-02,3,7,3
2011-01-03,4,7,3
2011-01-04,4,7,3
2011-01-05,5,8,4
2011-01-06,6,9,4
2011-01-07,7,9,6
2011-01-08,7,9,6
2011-01-09,7,9,6
2011-01-10,8,10,7
2011-01-11,8,10,7
2011-01-12,8,10,7
2011-01-13,8,10,7
2011-01-14,9,11,9
2011-01-15,9,11,9
2011-01-16,9,11,9
2011-01-17,9,11,9
2011-01-18,13,11,9
2011-01-19,16,11,10
2011-01-20,25,13,14
2011-01-21,31,13,16
2011-01-22,32,13,16
2011-01-23,33,13,17
2011-01-24,35,13,18
2011-01-25,37,13,18
2011-01-26,37,13,18
2011-01-27,37,13,18
2011-01-28,37,13,18
2011-01-29,37,13,18
2011-01-30,37,13,18
2011-01-31,39,13,21
2011-02-01,40,13,22
2011-02-02,40,13,22
2011-02-03,40,13,23
2011-02-04,40,13,23
2011-02-05,40,13,23
2011-02-06,40,13,23
2011-02-07,40,14,23
2011-02-08,40,14,23
2011-02-09,40,14,23
2011-02-10,40,15,25
2011-02-11,41,16,25
2011-02-12,41,16,25
2011-02-13,41,16,25
2011-02-14,42,19,25
2011-02-15,42,19,25
2011-02-16,44,19,26
2011-02-17,45,19,26
2011-02-18,48,19,26
2011-02-19,48,19,26
2011-02-20,48,19,26
2011-02-21,48,19,26
2011-02-22,48,21,26
2011-02-23,53,23,27
2011-02-24,53,23,27
2011-02-25,58,23,29
2011-02-26,59,23,30
2011-02-27,59,23,30
2011-02-28,60,24,30
2011-03-01,61,26,31
2011-03-02,63,27,32
2011-03-03,64,29,37
2011-03-04,64,29,37
2011-03-05,67,31,39
2011-03-06,67,31,39
2011-03-07,67,31,39
2011-03-08,67,31,39
2011-03-09,69,31,41
2011-03-10,71,31,41
2011-03-11,71,31,41
2011-03-12,71,31,41
2011-03-13,79,31,42
2011-03-14,80,31,43
2011-03-15,80,31,43
2011-03-16,81,32,44
2011-03-17,82,32,47
2011-03-18,82,32,48
2011-03-19,82,32,48
2011-03-20,82,32,48
2011-03-21,82,33,48
2011-03-22,82,33,48
2011-03-23,82,33,50
2011-03-24,82,33,50
2011-03-25,82,33,51
2011-03-26,82,33,51
2011-03-27,82,33,51
2011-03-28,82,33,51
2011-03-29,82,33,51
2011-03-30,83,33,51
2011-03-31,83,33,51
2011-04-01,83,33,51
2011-04-02,83,33,51
2011-04-03,83,33,53
2011-04-04,83,33,53
2011-04-05,84,34,54
2011-04-06,86,34,54
2011-04-07,86,34,54
2011-04-08,86,34,54
2011-04-09,86,35,54
2011-04-10,86,35,54
2011-04-11,86,35,54
2011-04-12,93,36,55
2011-04-13,96,36,60
2011-04-14,97,37,61
2011-04-15,102,38,65
2011-04-16,103,38,68
2011-04-17,103,38,68
2011-04-18,105,39,68
2011-04-19,106,41,70
2011-04-20,111,43,72
2011-04-21,111,43,72
2011-04-22,113,43,74
2011-04-23,115,43,77
2011-04-24,115,43,77
2011-04-25,116,43,78
2011-04-26,116,43,78
2011-04-27,117,43,78
2011-04-28,119,45,78
2011-04-29,119,45,78
2011-04-30,119,45,78
2011-05-01,124,45,79
2011-05-02,124,45,79
2011-05-03,128,45,80
2011-05-04,128,45,80
2011-05-05,131,45,84
2011-05-06,133,45,87
2011-05-07,136,46,87
2011-05-08,138,46,91
2011-05-09,148,51,96
2011-05-10,152,53,96
2011-05-11,154,53,97
2011-05-12,162,54,98
2011-05-13,165,54,100
2011-05-14,174,54,100
2011-05-15,182,54,101
2011-05-16,189,56,102
2011-05-17,193,57,105
2011-05-18,194,64,106
2011-05-19,194,64,106
2011-05-20,194,64,106
2011-05-21,197,65,108
2011-05-22,202,66,111
2011-05-23,202,66,111
2011-05-24,203,66,113
2011-05-25,208,67,117
2011-05-26,216,70,122
2011-05-27,228,71,123
2011-05-28,233,71,126
2011-05-29,234,71,129
2011-05-30,235,72,130
2011-05-31,236,72,130
2011-06-01,246,72,132
2011-06-02,252,72,133
2011-06-03,257,72,136
2011-06-04,260,72,137
2011-06-05,272,74,139
2011-06-06,274,77,141
2011-06-07,276,79,141
2011-06-08,276,79,141
2011-06-09,277,79,142
2011-06-10,283,79,142
2011-06-11,291,80,143
2011-06-12,299,80,143
2011-06-13,305,80,143
2011-06-14,310,81,143
2011-06-15,315,81,143
2011-06-16,316,87,144
2011-06-17,321,87,145
2011-06-18,330,90,147
2011-06-19,332,91,149
2011-06-20,337,92,151
2011-06-21,344,94,151
2011-06-22,345,95,151
2011-06-23,346,96,151
2011-06-24,350,98,154
2011-06-25,356,99,154
2011-06-26,364,101,157
2011-06-27,368,102,163
2011-06-28,372,103,166
2011-06-29,376,104,168
2011-06-30,386,104,170
2011-07-01,396,105,174
2011-07-02,407,105,175
2011-07-03,413,106,176
2011-07-04,417,107,179
2011-07-05,424,108,182
2011-07-06,427,108,183
2011-07-07,442,111,184
2011-07-08,451,112,184
2011-07-09,460,113,186
2011-07-10,461,113,186
2011-07-11,466,113,187
2011-07-12,467,116,188
2011-07-13,491,118,194
2011-07-14,504,119,198
2011-07-15,513,119,198
2011-07-16,519,119,199
2011-07-17,528,119,201
2011-07-18,538,119,202
2011-07-19,538,119,202
2011-07-20,538,119,202
2011-07-21,539,119,204
2011-07-22,544,120,204
2011-07-23,544,120,204
2011-07-24,553,120,206
2011-07-25,557,121,207
2011-07-26,570,123,210
2011-07-27,575,123,210
2011-07-28,575,123,210
2011-07-29,579,123,210
2011-07-30,585,123,213
2011-07-31,590,125,216
2011-08-01,592,126,217
2011-08-02,595,126,217
2011-08-03,602,129,219
2011-08-04,606,129,220
2011-08-05,609,130,221
2011-08-06,611,130,221
2011-08-07,616,130,221
2011-08-08,627,131,222
2011-08-09,629,131,222
2011-08-10,629,131,222
2011-08-11,639,131,228
2011-08-12,640,132,230
2011-08-13,640,132,230
2011-08-14,640,132,230
2011-08-15,640,132,230
2011-08-16,645,134,231
2011-08-17,647,134,232
2011-08-18,647,134,232
2011-08-19,653,134,232
2011-08-20,653,134,232
2011-08-21,654,134,233
2011-08-22,655,134,233
2011-08-23,660,134,233
2011-08-24,661,135,234
2011-08-25,662,135,234
2011-08-26,663,135,234
