date,commits,pull requests,issues
2010-12-20,2,1,3
2010-12-21,3,2,3
2010-12-22,3,3,7
2010-12-23,3,3,7
2010-12-24,3,3,7
2010-12-25,3,3,7
2010-12-26,3,3,7
2010-12-27,3,3,7
2010-12-28,3,3,7
2010-12-29,3,3,7
2010-12-30,3,3,7
2010-12-31,3,3,7
2011-01-01,3,3,7
2011-01-02,3,3,7
2011-01-03,4,3,7
2011-01-04,4,3,7
2011-01-05,5,4,8
2011-01-06,6,4,9
2011-01-07,7,6,9
2011-01-08,7,6,9
2011-01-09,7,6,9
2011-01-10,8,7,10
2011-01-11,8,7,10
2011-01-12,8,7,10
2011-01-13,8,7,10
2011-01-14,9,9,11
2011-01-15,9,9,11
2011-01-16,9,9,11
2011-01-17,9,9,11
2011-01-18,13,9,11
2011-01-19,16,10,11
2011-01-20,25,14,13
2011-01-21,31,16,13
2011-01-22,32,16,13
2011-01-23,33,17,13
2011-01-24,35,18,13
2011-01-25,37,18,13
2011-01-26,37,18,13
2011-01-27,37,18,13
2011-01-28,37,18,13
2011-01-29,37,18,13
2011-01-30,37,18,13
2011-01-31,39,21,13
2011-02-01,40,22,13
2011-02-02,40,22,13
2011-02-03,40,23,13
2011-02-04,40,23,13
2011-02-05,40,23,13
2011-02-06,40,23,13
2011-02-07,40,23,14
2011-02-08,40,23,14
2011-02-09,40,23,14
2011-02-10,40,25,15
2011-02-11,41,25,16
2011-02-12,41,25,16
2011-02-13,41,25,16
2011-02-14,42,25,19
2011-02-15,42,25,19
2011-02-16,44,26,19
2011-02-17,45,26,19
2011-02-18,48,26,19
2011-02-19,48,26,19
2011-02-20,48,26,19
2011-02-21,48,26,19
2011-02-22,48,26,21
2011-02-23,53,27,23
2011-02-24,53,27,23
2011-02-25,58,29,23
2011-02-26,59,30,23
2011-02-27,59,30,23
2011-02-28,60,30,24
2011-03-01,61,31,26
2011-03-02,63,32,27
2011-03-03,64,37,29
2011-03-04,64,37,29
2011-03-05,67,39,31
2011-03-06,67,39,31
2011-03-07,67,39,31
2011-03-08,67,39,31
2011-03-09,69,41,31
2011-03-10,71,41,31
2011-03-11,71,41,31
2011-03-12,71,41,31
2011-03-13,79,42,31
2011-03-14,80,43,31
2011-03-15,80,43,31
2011-03-16,81,44,32
2011-03-17,82,47,32
2011-03-18,82,48,32
2011-03-19,82,48,32
2011-03-20,82,48,32
2011-03-21,82,48,33
2011-03-22,82,48,33
2011-03-23,82,50,33
2011-03-24,82,50,33
2011-03-25,82,51,33
2011-03-26,82,51,33
2011-03-27,82,51,33
2011-03-28,82,51,33
2011-03-29,82,51,33
2011-03-30,83,51,33
2011-03-31,83,51,33
2011-04-01,83,51,33
2011-04-02,83,51,33
2011-04-03,83,53,33
2011-04-04,83,53,33
2011-04-05,84,54,34
2011-04-06,86,54,34
2011-04-07,86,54,34
2011-04-08,86,54,34
2011-04-09,86,54,35
2011-04-10,86,54,35
2011-04-11,86,54,35
2011-04-12,93,55,36
2011-04-13,96,60,36
2011-04-14,97,61,37
2011-04-15,102,65,38
2011-04-16,103,68,38
2011-04-17,103,68,38
2011-04-18,105,68,39
2011-04-19,106,70,41
2011-04-20,111,72,43
2011-04-21,111,72,43
2011-04-22,113,74,43
2011-04-23,115,77,43
2011-04-24,115,77,43
2011-04-25,116,78,43
2011-04-26,116,78,43
2011-04-27,117,78,43
2011-04-28,119,78,45
2011-04-29,119,78,45
2011-04-30,119,78,45
2011-05-01,124,79,45
2011-05-02,124,79,45
2011-05-03,128,80,45
2011-05-04,128,80,45
2011-05-05,131,84,45
2011-05-06,133,87,45
2011-05-07,136,87,46
2011-05-08,138,91,46
2011-05-09,148,96,51
2011-05-10,152,96,53
2011-05-11,154,97,53
2011-05-12,162,98,54
2011-05-13,165,100,54
2011-05-14,174,100,54
2011-05-15,182,101,54
2011-05-16,189,102,56
2011-05-17,193,105,57
2011-05-18,194,106,64
2011-05-19,194,106,64
2011-05-20,194,106,64
2011-05-21,197,108,65
2011-05-22,202,111,66
2011-05-23,202,111,66
2011-05-24,203,113,66
2011-05-25,208,117,67
2011-05-26,216,122,70
2011-05-27,228,123,71
2011-05-28,233,126,71
2011-05-29,234,129,71
2011-05-30,235,130,72
2011-05-31,236,130,72
2011-06-01,246,132,72
2011-06-02,252,133,72
2011-06-03,257,136,72
2011-06-04,260,137,72
2011-06-05,272,139,74
2011-06-06,274,141,77
2011-06-07,276,141,79
2011-06-08,276,141,79
2011-06-09,277,142,79
2011-06-10,283,142,79
2011-06-11,291,143,80
2011-06-12,299,143,80
2011-06-13,305,143,80
2011-06-14,310,143,81
2011-06-15,315,143,81
2011-06-16,316,144,87
2011-06-17,321,145,87
2011-06-18,330,147,90
2011-06-19,332,149,91
2011-06-20,337,151,92
2011-06-21,344,151,94
2011-06-22,345,151,95
2011-06-23,346,151,96
2011-06-24,350,154,98
2011-06-25,356,154,99
2011-06-26,364,157,101
2011-06-27,368,163,102
2011-06-28,372,166,103
2011-06-29,376,168,104
2011-06-30,386,170,104
2011-07-01,396,174,105
2011-07-02,407,175,105
2011-07-03,413,176,106
2011-07-04,417,179,107
2011-07-05,424,182,108
2011-07-06,427,183,108
2011-07-07,442,184,111
2011-07-08,451,184,112
2011-07-09,460,186,113
2011-07-10,461,186,113
2011-07-11,466,187,113
2011-07-12,467,188,116
2011-07-13,491,194,118
2011-07-14,504,198,119
2011-07-15,513,198,119
2011-07-16,519,199,119
2011-07-17,528,201,119
2011-07-18,538,202,119
2011-07-19,538,202,119
2011-07-20,538,202,119
2011-07-21,539,204,119
2011-07-22,544,204,120
2011-07-23,544,204,120
2011-07-24,553,206,120
2011-07-25,557,207,121
2011-07-26,570,210,123
2011-07-27,575,210,123
2011-07-28,575,210,123
2011-07-29,579,210,123
2011-07-30,585,213,123
2011-07-31,590,216,125
2011-08-01,592,217,126
2011-08-02,595,217,126
2011-08-03,602,219,129
2011-08-04,606,220,129
2011-08-05,609,221,130
2011-08-06,611,221,130
2011-08-07,616,221,130
2011-08-08,627,222,131
2011-08-09,629,222,131
