name,date,value
commits,2010-12-20,2
commits,2010-12-21,1
commits,2010-12-22,0
commits,2010-12-23,0
commits,2010-12-24,0
commits,2010-12-25,0
commits,2010-12-26,0
commits,2010-12-27,0
commits,2010-12-28,0
commits,2010-12-29,0
commits,2010-12-30,0
commits,2010-12-31,0
commits,2011-01-01,0
commits,2011-01-02,0
commits,2011-01-03,0
commits,2011-01-04,0
commits,2011-01-05,1
commits,2011-01-06,0
commits,2011-01-07,1
commits,2011-01-08,0
commits,2011-01-09,0
commits,2011-01-10,1
commits,2011-01-11,0
commits,2011-01-12,0
commits,2011-01-13,0
commits,2011-01-14,1
commits,2011-01-15,0
commits,2011-01-16,0
commits,2011-01-17,0
commits,2011-01-18,0
commits,2011-01-19,3
commits,2011-01-20,4
commits,2011-01-21,3
commits,2011-01-22,1
commits,2011-01-23,1
commits,2011-01-24,2
commits,2011-01-25,2
commits,2011-01-26,0
commits,2011-01-27,0
commits,2011-01-28,0
commits,2011-01-29,0
commits,2011-01-30,0
commits,2011-01-31,2
commits,2011-02-01,1
commits,2011-02-02,0
commits,2011-02-03,0
commits,2011-02-04,0
commits,2011-02-05,0
commits,2011-02-06,0
commits,2011-02-07,0
commits,2011-02-08,0
commits,2011-02-09,0
commits,2011-02-10,0
commits,2011-02-11,1
commits,2011-02-12,0
commits,2011-02-13,0
commits,2011-02-14,1
commits,2011-02-15,0
commits,2011-02-16,2
commits,2011-02-17,1
commits,2011-02-18,3
commits,2011-02-19,0
commits,2011-02-20,0
commits,2011-02-21,0
commits,2011-02-22,0
commits,2011-02-23,5
commits,2011-02-24,0
commits,2011-02-25,4
commits,2011-02-26,1
commits,2011-02-27,0
commits,2011-02-28,1
commits,2011-03-01,1
commits,2011-03-02,1
commits,2011-03-03,1
commits,2011-03-04,0
commits,2011-03-05,3
commits,2011-03-06,0
commits,2011-03-07,0
commits,2011-03-08,0
commits,2011-03-09,2
commits,2011-03-10,2
commits,2011-03-11,0
commits,2011-03-12,0
commits,2011-03-13,3
commits,2011-03-14,0
commits,2011-03-15,0
commits,2011-03-16,1
commits,2011-03-17,1
commits,2011-03-18,0
commits,2011-03-19,0
commits,2011-03-20,0
commits,2011-03-21,0
commits,2011-03-22,0
commits,2011-03-23,0
commits,2011-03-24,0
commits,2011-03-25,0
commits,2011-03-26,0
commits,2011-03-27,0
commits,2011-03-28,0
commits,2011-03-29,0
commits,2011-03-30,1
commits,2011-03-31,0
commits,2011-04-01,0
commits,2011-04-02,0
commits,2011-04-03,0
commits,2011-04-04,0
commits,2011-04-05,0
commits,2011-04-06,2
commits,2011-04-07,0
commits,2011-04-08,0
commits,2011-04-09,0
commits,2011-04-10,0
commits,2011-04-11,0
commits,2011-04-12,3
commits,2011-04-13,3
commits,2011-04-14,1
commits,2011-04-15,2
commits,2011-04-16,1
commits,2011-04-17,0
commits,2011-04-18,1
commits,2011-04-19,1
commits,2011-04-20,5
commits,2011-04-21,0
commits,2011-04-22,2
commits,2011-04-23,2
commits,2011-04-24,0
commits,2011-04-25,1
commits,2011-04-26,0
commits,2011-04-27,1
commits,2011-04-28,2
commits,2011-04-29,0
commits,2011-04-30,0
commits,2011-05-01,0
commits,2011-05-02,0
commits,2011-05-03,1
commits,2011-05-04,0
commits,2011-05-05,1
commits,2011-05-06,2
commits,2011-05-07,3
commits,2011-05-08,2
commits,2011-05-09,7
commits,2011-05-10,4
commits,2011-05-11,2
commits,2011-05-12,8
commits,2011-05-13,3
commits,2011-05-14,7
commits,2011-05-15,8
commits,2011-05-16,7
commits,2011-05-17,4
commits,2011-05-18,1
commits,2011-05-19,0
commits,2011-05-20,0
commits,2011-05-21,3
commits,2011-05-22,5
commits,2011-05-23,0
commits,2011-05-24,1
commits,2011-05-25,4
commits,2011-05-26,5
commits,2011-05-27,11
commits,2011-05-28,4
commits,2011-05-29,1
commits,2011-05-30,1
commits,2011-05-31,1
commits,2011-06-01,10
commits,2011-06-02,5
commits,2011-06-03,5
commits,2011-06-04,3
commits,2011-06-05,11
commits,2011-06-06,2
commits,2011-06-07,1
commits,2011-06-08,0
commits,2011-06-09,1
commits,2011-06-10,5
commits,2011-06-11,8
commits,2011-06-12,8
commits,2011-06-13,6
commits,2011-06-14,5
commits,2011-06-15,5
commits,2011-06-16,1
commits,2011-06-17,5
commits,2011-06-18,9
commits,2011-06-19,1
commits,2011-06-20,3
commits,2011-06-21,7
commits,2011-06-22,1
commits,2011-06-23,1
commits,2011-06-24,3
commits,2011-06-25,6
commits,2011-06-26,6
commits,2011-06-27,3
commits,2011-06-28,3
commits,2011-06-29,2
commits,2011-06-30,10
commits,2011-07-01,10
commits,2011-07-02,11
commits,2011-07-03,6
commits,2011-07-04,4
commits,2011-07-05,6
commits,2011-07-06,3
commits,2011-07-07,15
commits,2011-07-08,9
commits,2011-07-09,9
commits,2011-07-10,1
commits,2011-07-11,5
commits,2011-07-12,1
commits,2011-07-13,23
commits,2011-07-14,10
commits,2011-07-15,6
commits,2011-07-16,6
commits,2011-07-17,9
commits,2011-07-18,5
commits,2011-07-19,0
commits,2011-07-20,0
commits,2011-07-21,1
commits,2011-07-22,3
commits,2011-07-23,0
commits,2011-07-24,7
commits,2011-07-25,4
commits,2011-07-26,10
commits,2011-07-27,3
commits,2011-07-28,0
commits,2011-07-29,3
commits,2011-07-30,6
commits,2011-07-31,4
commits,2011-08-01,1
commits,2011-08-02,3
commits,2011-08-03,7
commits,2011-08-04,4
commits,2011-08-05,3
commits,2011-08-06,1
commits,2011-08-07,5
commits,2011-08-08,10
commits,2011-08-09,2
commits,2011-08-10,0
commits,2011-08-11,6
commits,2011-08-12,1
commits,2011-08-13,0
commits,2011-08-14,0
commits,2011-08-15,0
commits,2011-08-16,4
commits,2011-08-17,2
commits,2011-08-18,0
commits,2011-08-19,6
commits,2011-08-20,0
commits,2011-08-21,1
