name,date,value
commits,2010w51,3.0
commits,2010w52,3.0
commits,2011w01,5.0
commits,2011w02,7.0
commits,2011w03,19.0
commits,2011w04,23.0
commits,2011w05,26.0
commits,2011w06,27.0
commits,2011w07,34.0
commits,2011w08,44.0
commits,2011w09,51.0
commits,2011w10,58.0
commits,2011w11,60.0
commits,2011w12,60.0
commits,2011w13,61.0
commits,2011w14,63.0
commits,2011w15,73.0
commits,2011w16,84.0
commits,2011w17,88.0
commits,2011w18,97.0
commits,2011w19,136.0
commits,2011w20,156.0
commits,2011w21,182.0
commits,2011w22,218.0
commits,2011w23,243.0
commits,2011w24,275.0
commits,2011w25,302.0
commits,2011w26,347.0
commits,2011w27,394.0
commits,2011w28,454.0
commits,2011w29,470.0
commits,2011w30,500.0
commits,2011w31,524.0
commits,2011w32,543.0
commits,2011w33,556.0
commits,2011w34,564.0
commits,2011w35,590.0
commits,2011w36,610.0
commits,2011w37,616.0
commits,2011w38,632.0
commits,2011w39,661.0
commits,2011w40,688.0
commits,2011w41,693.0
commits,2011w42,697.0
commits,2011w43,714.0
commits,2011w44,726.0
commits,2011w45,744.0
commits,2011w46,756.0
commits,2011w47,768.0
commits,2011w48,775.0
commits,2011w49,779.0
commits,2011w50,796.0
commits,2011w51,834.0
commits,2011w52,837.0
commits,2012w01,848.0
commits,2012w02,868.0
commits,2012w03,878.0
commits,2012w04,887.0
commits,2012w05,894.0
commits,2012w06,919.0
commits,2012w07,951.0
commits,2012w08,971.0
commits,2012w09,979.0
commits,2012w10,982.0
commits,2012w11,991.0
commits,2012w12,1011.0
commits,2012w13,1021.0
commits,2012w14,1050.0
commits,2012w15,1077.0
commits,2012w16,1099.0
commits,2012w17,1111.0
commits,2012w18,1134.0
commits,2012w19,1192.0
commits,2012w20,1228.0
commits,2012w21,1254.0
commits,2012w22,1264.0
commits,2012w23,1274.0
commits,2012w24,1291.0
commits,2012w25,1311.0
commits,2012w26,1325.0
commits,2012w27,1342.0
commits,2012w28,1351.0
commits,2012w29,1365.0
commits,2012w30,1373.0
commits,2012w31,1378.0
commits,2012w32,1386.0
commits,2012w33,1387.0
commits,2012w34,1421.0
commits,2012w35,1448.0
commits,2012w36,1466.0
commits,2012w37,1474.0
commits,2012w38,1486.0
commits,2012w39,1491.0
commits,2012w40,1505.0
commits,2012w41,1513.0
commits,2012w42,1546.0
commits,2012w43,1559.0
commits,2012w44,1574.0
commits,2012w45,1587.0
commits,2012w46,1595.0
commits,2012w47,1598.0
commits,2012w48,1604.0
commits,2012w49,1613.0
commits,2012w50,1621.0
commits,2012w51,1627.0
commits,2012w52,1628.0
commits,2013w01,1634.0
commits,2013w02,1642.0
commits,2013w03,1669.0
commits,2013w04,1687.0
commits,2013w05,1709.0
commits,2013w06,1717.0
