name,date,value
commits,2010w51,3
commits,2010w52,0
commits,2011w01,4
commits,2011w02,2
commits,2011w03,24
commits,2011w04,4
commits,2011w05,3
commits,2011w06,1
commits,2011w07,7
commits,2011w08,11
commits,2011w09,8
commits,2011w10,12
commits,2011w11,3
commits,2011w12,0
commits,2011w13,1
commits,2011w14,3
commits,2011w15,17
commits,2011w16,12
commits,2011w17,9
commits,2011w18,14
commits,2011w19,44
commits,2011w20,20
commits,2011w21,32
commits,2011w22,38
commits,2011w23,27
commits,2011w24,33
commits,2011w25,32
commits,2011w26,49
commits,2011w27,48
commits,2011w28,67
commits,2011w29,25
commits,2011w30,37
commits,2011w31,26
commits,2011w32,24
commits,2011w33,14
commits,2011w34,10
commits,2011w35,34
commits,2011w36,32
commits,2011w37,8
commits,2011w38,19
commits,2011w39,43
commits,2011w40,41
commits,2011w41,10
commits,2011w42,4
commits,2011w43,21
commits,2011w44,16
commits,2011w45,25
commits,2011w46,16
commits,2011w47,18
commits,2011w48,12
commits,2011w49,7
commits,2011w50,24
commits,2011w51,52
commits,2011w52,4
commits,2012w01,19
commits,2012w02,27
commits,2012w03,15
commits,2012w04,17
commits,2012w05,8
commits,2012w06,37
commits,2012w07,46
commits,2012w08,38
commits,2012w09,16
commits,2012w10,4
commits,2012w11,13
commits,2012w12,36
commits,2012w13,27
commits,2012w14,52
commits,2012w15,42
commits,2012w16,39
commits,2012w17,19
commits,2012w18,41
commits,2012w19,104
commits,2012w20,62
commits,2012w21,40
commits,2012w22,15
commits,2012w23,17
commits,2012w24,37
commits,2012w25,34
commits,2012w26,24
commits,2012w27,26
commits,2012w28,23
commits,2012w29,24
commits,2012w30,19
commits,2012w31,9
commits,2012w32,11
commits,2012w33,10
commits,2012w34,53
commits,2012w35,40
commits,2012w36,32
commits,2012w37,11
commits,2012w38,24
commits,2012w39,18
commits,2012w40,24
commits,2012w41,21
commits,2012w42,40
commits,2012w43,23
commits,2012w44,26
commits,2012w45,25
commits,2012w46,17
commits,2012w47,8
commits,2012w48,12
commits,2012w49,18
commits,2012w50,24
commits,2012w51,9
commits,2012w52,1
commits,2013w01,16
commits,2013w02,11
commits,2013w03,43
commits,2013w04,33
commits,2013w05,35
commits,2013w06,16
commits,2013w07,13
commits,2013w08,21
commits,2013w09,6
commits,2013w10,3
commits,2013w11,3
commits,2013w12,25
commits,2013w13,20
commits,2013w14,53
commits,2013w15,34
commits,2013w16,12
commits,2013w17,34
commits,2013w18,36
commits,2013w19,14
commits,2013w20,6
commits,2013w21,25
commits,2013w22,21
commits,2013w23,25
commits,2013w24,12
commits,2013w25,15
commits,2013w26,25
commits,2013w27,7
commits,2013w28,9
commits,2013w29,11
commits,2013w30,15
commits,2013w31,6
commits,2013w32,19
commits,2013w33,23
commits,2013w34,29
commits,2013w35,19
commits,2013w36,16
commits,2013w37,21
commits,2013w38,34
commits,2013w39,19
commits,2013w40,22
commits,2013w41,18
commits,2013w42,48
commits,2013w43,55
commits,2013w44,31
commits,2013w45,29
commits,2013w46,48
commits,2013w47,27
commits,2013w48,26
commits,2013w49,40
commits,2013w50,49
commits,2013w51,38
commits,2013w52,8
commits,2014w01,5
commits,2014w02,53
commits,2014w03,64
commits,2014w04,34
commits,2014w05,43
commits,2014w06,27
commits,2014w07,31
commits,2014w08,33
