name,date,value
commits,2010w51,3.0
commits,2010w52,3.0
commits,2011w01,7.0
commits,2011w02,9.0
commits,2011w03,33.0
commits,2011w04,37.0
commits,2011w05,40.0
commits,2011w06,41.0
commits,2011w07,48.0
commits,2011w08,59.0
commits,2011w09,67.0
commits,2011w10,79.0
commits,2011w11,82.0
commits,2011w12,82.0
commits,2011w13,83.0
commits,2011w14,86.0
commits,2011w15,103.0
commits,2011w16,115.0
commits,2011w17,124.0
commits,2011w18,138.0
commits,2011w19,182.0
commits,2011w20,202.0
commits,2011w21,234.0
commits,2011w22,272.0
commits,2011w23,299.0
commits,2011w24,332.0
commits,2011w25,364.0
commits,2011w26,413.0
commits,2011w27,461.0
commits,2011w28,528.0
commits,2011w29,553.0
commits,2011w30,590.0
commits,2011w31,616.0
commits,2011w32,640.0
commits,2011w33,654.0
commits,2011w34,664.0
commits,2011w35,698.0
commits,2011w36,730.0
commits,2011w37,738.0
commits,2011w38,757.0
commits,2011w39,800.0
commits,2011w40,841.0
commits,2011w41,851.0
commits,2011w42,855.0
commits,2011w43,876.0
commits,2011w44,892.0
commits,2011w45,917.0
commits,2011w46,933.0
commits,2011w47,951.0
commits,2011w48,963.0
commits,2011w49,970.0
commits,2011w50,994.0
commits,2011w51,1046.0
commits,2011w52,1050.0
commits,2012w01,1069.0
commits,2012w02,1096.0
commits,2012w03,1111.0
commits,2012w04,1128.0
commits,2012w05,1136.0
commits,2012w06,1173.0
commits,2012w07,1219.0
commits,2012w08,1257.0
commits,2012w09,1273.0
commits,2012w10,1277.0
commits,2012w11,1290.0
commits,2012w12,1326.0
commits,2012w13,1353.0
commits,2012w14,1405.0
commits,2012w15,1447.0
commits,2012w16,1486.0
commits,2012w17,1505.0
commits,2012w18,1546.0
commits,2012w19,1650.0
commits,2012w20,1712.0
commits,2012w21,1752.0
commits,2012w22,1767.0
commits,2012w23,1784.0
commits,2012w24,1821.0
commits,2012w25,1855.0
commits,2012w26,1879.0
commits,2012w27,1905.0
commits,2012w28,1928.0
commits,2012w29,1952.0
commits,2012w30,1971.0
commits,2012w31,1980.0
commits,2012w32,1991.0
commits,2012w33,2001.0
commits,2012w34,2054.0
commits,2012w35,2094.0
commits,2012w36,2126.0
commits,2012w37,2137.0
commits,2012w38,2161.0
commits,2012w39,2179.0
commits,2012w40,2203.0
commits,2012w41,2224.0
commits,2012w42,2264.0
commits,2012w43,2287.0
commits,2012w44,2313.0
commits,2012w45,2338.0
commits,2012w46,2355.0
commits,2012w47,2363.0
commits,2012w48,2375.0
commits,2012w49,2393.0
commits,2012w50,2417.0
commits,2012w51,2426.0
commits,2012w52,2427.0
commits,2013w01,2443.0
commits,2013w02,2454.0
commits,2013w03,2497.0
commits,2013w04,2530.0
commits,2013w05,2565.0
