key,date,value
commits,20101220,2
commits,20101221,3
commits,20101222,3
commits,20101223,3
commits,20101224,3
commits,20101225,3
commits,20101226,3
commits,20101227,3
commits,20101228,3
commits,20101229,3
commits,20101230,3
commits,20101231,3
commits,20110101,3
commits,20110102,3
commits,20110103,4
commits,20110104,4
commits,20110105,5
commits,20110106,6
commits,20110107,7
commits,20110108,7
commits,20110109,7
commits,20110110,8
commits,20110111,8
commits,20110112,8
commits,20110113,8
commits,20110114,9
commits,20110115,9
commits,20110116,9
commits,20110117,9
commits,20110118,13
commits,20110119,16
commits,20110120,25
commits,20110121,31
commits,20110122,32
commits,20110123,33
commits,20110124,35
commits,20110125,37
commits,20110126,37
commits,20110127,37
commits,20110128,37
commits,20110129,37
commits,20110130,37
commits,20110131,39
commits,20110201,40
commits,20110202,40
commits,20110203,40
commits,20110204,40
commits,20110205,40
commits,20110206,40
commits,20110207,40
commits,20110208,40
commits,20110209,40
commits,20110210,40
commits,20110211,41
commits,20110212,41
commits,20110213,41
commits,20110214,42
commits,20110215,42
commits,20110216,44
commits,20110217,45
commits,20110218,48
commits,20110219,48
commits,20110220,48
commits,20110221,48
commits,20110222,48
commits,20110223,53
commits,20110224,53
commits,20110225,58
commits,20110226,59
commits,20110227,59
commits,20110228,60
commits,20110301,61
commits,20110302,63
commits,20110303,64
commits,20110304,64
commits,20110305,67
commits,20110306,67
commits,20110307,67
commits,20110308,67
commits,20110309,69
commits,20110310,71
commits,20110311,71
commits,20110312,71
commits,20110313,79
commits,20110314,80
commits,20110315,80
commits,20110316,81
commits,20110317,82
commits,20110318,82
commits,20110319,82
commits,20110320,82
commits,20110321,82
commits,20110322,82
commits,20110323,82
commits,20110324,82
commits,20110325,82
commits,20110326,82
commits,20110327,82
commits,20110328,82
commits,20110329,82
commits,20110330,83
commits,20110331,83
commits,20110401,83
commits,20110402,83
commits,20110403,83
commits,20110404,83
commits,20110405,84
commits,20110406,86
commits,20110407,86
commits,20110408,86
commits,20110409,86
commits,20110410,86
commits,20110411,86
commits,20110412,93
commits,20110413,96
commits,20110414,97
commits,20110415,102
commits,20110416,103
commits,20110417,103
commits,20110418,105
commits,20110419,106
commits,20110420,111
commits,20110421,111
commits,20110422,113
commits,20110423,115
commits,20110424,115
commits,20110425,116
commits,20110426,116
commits,20110427,117
commits,20110428,119
commits,20110429,119
commits,20110430,119
commits,20110501,124
commits,20110502,124
commits,20110503,128
commits,20110504,128
commits,20110505,131
commits,20110506,133
commits,20110507,136
commits,20110508,138
commits,20110509,148
commits,20110510,152
commits,20110511,154
commits,20110512,162
commits,20110513,165
commits,20110514,174
commits,20110515,182
commits,20110516,189
commits,20110517,193
commits,20110518,194
commits,20110519,194
commits,20110520,194
commits,20110521,197
commits,20110522,202
commits,20110523,202
commits,20110524,203
commits,20110525,208
commits,20110526,216
commits,20110527,228
commits,20110528,233
commits,20110529,234
commits,20110530,235
commits,20110531,236
commits,20110601,246
commits,20110602,252
commits,20110603,257
commits,20110604,260
commits,20110605,272
commits,20110606,274
commits,20110607,276
commits,20110608,276
commits,20110609,277
commits,20110610,283
commits,20110611,291
commits,20110612,299
commits,20110613,305
commits,20110614,310
commits,20110615,315
commits,20110616,316
commits,20110617,321
commits,20110618,330
commits,20110619,332
commits,20110620,337
commits,20110621,344
commits,20110622,345
commits,20110623,346
commits,20110624,350
commits,20110625,356
commits,20110626,364
commits,20110627,368
commits,20110628,372
commits,20110629,376
commits,20110630,386
commits,20110701,396
commits,20110702,407
commits,20110703,413
commits,20110704,417
commits,20110705,424
commits,20110706,427
commits,20110707,442
commits,20110708,451
commits,20110709,460
commits,20110710,461
commits,20110711,466
commits,20110712,467
