name,date,value
commits,2010w51,3.0
commits,2010w52,0.0
commits,2011w01,2.0
commits,2011w02,2.0
commits,2011w03,12.0
commits,2011w04,4.0
commits,2011w05,3.0
commits,2011w06,1.0
commits,2011w07,7.0
commits,2011w08,10.0
commits,2011w09,7.0
commits,2011w10,7.0
commits,2011w11,2.0
commits,2011w12,0.0
commits,2011w13,1.0
commits,2011w14,2.0
commits,2011w15,10.0
commits,2011w16,11.0
commits,2011w17,4.0
commits,2011w18,9.0
commits,2011w19,39.0
commits,2011w20,20.0
commits,2011w21,26.0
commits,2011w22,36.0
commits,2011w23,25.0
commits,2011w24,32.0
commits,2011w25,27.0
commits,2011w26,45.0
commits,2011w27,47.0
commits,2011w28,60.0
commits,2011w29,16.0
commits,2011w30,30.0
commits,2011w31,24.0
commits,2011w32,19.0
commits,2011w33,13.0
commits,2011w34,8.0
commits,2011w35,26.0
commits,2011w36,20.0
commits,2011w37,6.0
commits,2011w38,16.0
commits,2011w39,29.0
commits,2011w40,27.0
commits,2011w41,5.0
commits,2011w42,4.0
commits,2011w43,17.0
commits,2011w44,12.0
commits,2011w45,18.0
commits,2011w46,12.0
commits,2011w47,12.0
commits,2011w48,7.0
commits,2011w49,4.0
commits,2011w50,17.0
commits,2011w51,38.0
commits,2011w52,3.0
commits,2012w01,11.0
commits,2012w02,20.0
commits,2012w03,10.0
commits,2012w04,9.0
commits,2012w05,7.0
commits,2012w06,25.0
commits,2012w07,32.0
commits,2012w08,20.0
commits,2012w09,8.0
commits,2012w10,3.0
commits,2012w11,9.0
commits,2012w12,20.0
commits,2012w13,10.0
commits,2012w14,29.0
commits,2012w15,27.0
commits,2012w16,22.0
commits,2012w17,12.0
commits,2012w18,23.0
commits,2012w19,58.0
commits,2012w20,36.0
commits,2012w21,26.0
commits,2012w22,10.0
commits,2012w23,10.0
commits,2012w24,17.0
commits,2012w25,20.0
commits,2012w26,14.0
commits,2012w27,17.0
commits,2012w28,9.0
commits,2012w29,14.0
commits,2012w30,8.0
commits,2012w31,5.0
commits,2012w32,8.0
commits,2012w33,1.0
commits,2012w34,34.0
commits,2012w35,27.0
commits,2012w36,18.0
commits,2012w37,8.0
commits,2012w38,12.0
commits,2012w39,5.0
commits,2012w40,14.0
commits,2012w41,8.0
commits,2012w42,33.0
commits,2012w43,13.0
commits,2012w44,15.0
commits,2012w45,13.0
commits,2012w46,8.0
commits,2012w47,3.0
commits,2012w48,6.0
commits,2012w49,9.0
commits,2012w50,8.0
commits,2012w51,6.0
commits,2012w52,1.0
commits,2013w01,6.0
commits,2013w02,8.0
commits,2013w03,27.0
commits,2013w04,18.0
commits,2013w05,22.0
commits,2013w06,8.0
commits,2013w07,9.0
commits,2013w08,8.0
commits,2013w09,4.0
commits,2013w10,3.0
commits,2013w11,0.0
commits,2013w12,17.0
commits,2013w13,11.0
commits,2013w14,25.0
commits,2013w15,12.0
commits,2013w16,4.0
commits,2013w17,20.0
commits,2013w18,16.0
commits,2013w19,7.0
commits,2013w20,5.0
commits,2013w21,14.0
commits,2013w22,11.0
commits,2013w23,17.0
commits,2013w24,8.0
commits,2013w25,7.0
commits,2013w26,20.0
commits,2013w27,3.0
commits,2013w28,5.0
commits,2013w29,10.0
commits,2013w30,10.0
commits,2013w31,4.0
commits,2013w32,7.0
commits,2013w33,7.0
commits,2013w34,16.0
commits,2013w35,11.0
commits,2013w36,7.0
commits,2013w37,14.0
commits,2013w38,25.0
commits,2013w39,8.0
commits,2013w40,9.0
commits,2013w41,9.0
commits,2013w42,17.0
commits,2013w43,28.0
commits,2013w44,15.0
commits,2013w45,12.0
commits,2013w46,27.0
commits,2013w47,14.0
commits,2013w48,15.0
commits,2013w49,22.0
commits,2013w50,26.0
commits,2013w51,18.0
commits,2013w52,5.0
commits,2014w01,3.0
commits,2014w02,31.0
commits,2014w03,40.0
commits,2014w04,17.0
commits,2014w05,27.0
commits,2014w06,15.0
commits,2014w07,19.0
commits,2014w08,14.0
commits,2014w09,21.0
commits,2014w10,16.0
commits,2014w11,25.0
commits,2014w12,20.0
commits,2014w13,16.0
commits,2014w14,20.0
commits,2014w15,21.0
commits,2014w16,8.0
commits,2014w17,18.0
commits,2014w18,18.0
commits,2014w19,34.0
commits,2014w20,20.0
commits,2014w21,25.0
commits,2014w22,12.0
commits,2014w23,42.0
commits,2014w24,18.0
commits,2014w25,30.0
commits,2014w26,39.0
commits,2014w27,32.0
commits,2014w28,37.0
commits,2014w29,30.0
commits,2014w30,22.0
commits,2014w31,25.0
commits,2014w32,26.0
commits,2014w33,27.0
commits,2014w34,25.0
commits,2014w35,41.0
commits,2014w36,24.0
commits,2014w37,34.0
commits,2014w38,25.0
commits,2014w39,44.0
commits,2014w40,41.0
commits,2014w41,22.0
commits,2014w42,31.0
commits,2014w43,37.0
commits,2014w44,44.0
commits,2014w45,25.0
commits,2014w46,22.0
commits,2014w47,83.0
commits,2014w48,41.0
commits,2014w49,31.0
commits,2014w50,26.0
commits,2014w51,31.0
commits,2014w52,22.0
commits,2015w01,31.0
commits,2015w02,33.0
commits,2015w03,22.0
commits,2015w04,13.0
commits,2015w05,22.0
commits,2015w06,17.0
commits,2015w07,6.0
commits,2015w08,6.0
commits,2015w09,13.0
commits,2015w10,24.0
commits,2015w11,19.0
commits,2015w12,9.0
commits,2015w13,24.0
commits,2015w14,11.0
commits,2015w15,9.0
commits,2015w16,12.0
commits,2015w17,35.0
commits,2015w18,35.0
commits,2015w19,19.0
commits,2015w20,43.0
commits,2015w21,25.0
commits,2015w22,21.0
commits,2015w23,39.0
commits,2015w24,19.0
commits,2015w25,32.0
commits,2015w26,12.0
commits,2015w27,29.0
commits,2015w28,18.0
commits,2015w29,18.0
commits,2015w30,22.0
commits,2015w31,27.0
commits,2015w32,22.0
commits,2015w33,17.0
commits,2015w34,21.0
commits,2015w35,9.0
commits,2015w36,34.0
commits,2015w37,10.0
commits,2015w38,34.0
commits,2015w39,19.0
commits,2015w40,36.0
commits,2015w41,33.0
commits,2015w42,27.0
commits,2015w43,33.0
commits,2015w44,27.0
commits,2015w45,25.0
commits,2015w46,72.0
commits,2015w47,53.0
commits,2015w48,37.0
commits,2015w49,80.0
commits,2015w50,20.0
commits,2015w51,19.0
commits,2015w52,14.0
commits,2015w53,9.0
commits,2016w01,34.0
commits,2016w02,19.0
