name,date,value
commits,2010-12-26,3
commits,2011-01-02,0
commits,2011-01-09,4
commits,2011-01-16,2
commits,2011-01-23,24
commits,2011-01-30,4
commits,2011-02-06,3
commits,2011-02-13,1
commits,2011-02-20,7
commits,2011-02-27,11
commits,2011-03-06,8
commits,2011-03-13,12
commits,2011-03-20,3
commits,2011-03-27,0
commits,2011-04-03,1
commits,2011-04-10,3
commits,2011-04-17,17
commits,2011-04-24,12
commits,2011-05-01,9
commits,2011-05-08,14
commits,2011-05-15,44
commits,2011-05-22,20
commits,2011-05-29,32
commits,2011-06-05,38
commits,2011-06-12,27
commits,2011-06-19,33
commits,2011-06-26,32
commits,2011-07-03,49
commits,2011-07-10,48
commits,2011-07-17,67
commits,2011-07-24,25
commits,2011-07-31,37
commits,2011-08-07,26
commits,2011-08-14,24
commits,2011-08-21,14
commits,2011-08-28,10
commits,2011-09-04,34
commits,2011-09-11,32
commits,2011-09-18,8
commits,2011-09-25,19
commits,2011-10-02,43
commits,2011-10-09,41
commits,2011-10-16,10
commits,2011-10-23,4
commits,2011-10-30,21
commits,2011-11-06,16
commits,2011-11-13,25
commits,2011-11-20,16
commits,2011-11-27,18
commits,2011-12-04,12
commits,2011-12-11,7
commits,2011-12-18,24
commits,2011-12-25,52
commits,2012-01-01,4
commits,2012-01-08,19
commits,2012-01-15,27
commits,2012-01-22,15
commits,2012-01-29,17
commits,2012-02-05,8
commits,2012-02-12,37
commits,2012-02-19,46
commits,2012-02-26,38
commits,2012-03-04,16
commits,2012-03-11,4
commits,2012-03-18,13
commits,2012-03-25,36
commits,2012-04-01,27
commits,2012-04-08,52
commits,2012-04-15,42
commits,2012-04-22,39
commits,2012-04-29,19
commits,2012-05-06,41
commits,2012-05-13,104
commits,2012-05-20,62
commits,2012-05-27,40
commits,2012-06-03,15
commits,2012-06-10,17
commits,2012-06-17,37
commits,2012-06-24,34
commits,2012-07-01,24
commits,2012-07-08,26
commits,2012-07-15,23
commits,2012-07-22,24
commits,2012-07-29,19
commits,2012-08-05,9
commits,2012-08-12,11
commits,2012-08-19,10
commits,2012-08-26,53
commits,2012-09-02,40
commits,2012-09-09,32
commits,2012-09-16,11
commits,2012-09-23,24
commits,2012-09-30,18
commits,2012-10-07,24
commits,2012-10-14,21
commits,2012-10-21,40
commits,2012-10-28,23
commits,2012-11-04,26
commits,2012-11-11,25
commits,2012-11-18,17
commits,2012-11-25,8
commits,2012-12-02,12
commits,2012-12-09,18
commits,2012-12-16,24
commits,2012-12-23,9
commits,2012-12-30,1
commits,2013-01-13,16
commits,2013-01-20,11
commits,2013-01-27,43
commits,2013-02-03,33
commits,2013-02-10,35
commits,2013-02-17,16
commits,2013-02-24,13
commits,2013-03-03,21
commits,2013-03-10,6
commits,2013-03-17,3
commits,2013-03-24,3
commits,2013-03-31,25
commits,2013-04-07,20
commits,2013-04-14,53
commits,2013-04-21,34
commits,2013-04-28,12
commits,2013-05-05,34
commits,2013-05-12,36
commits,2013-05-19,14
commits,2013-05-26,6
commits,2013-06-02,25
commits,2013-06-09,21
commits,2013-06-16,25
commits,2013-06-23,12
commits,2013-06-30,15
commits,2013-07-07,25
commits,2013-07-14,7
commits,2013-07-21,9
commits,2013-07-28,11
commits,2013-08-04,15
commits,2013-08-11,6
commits,2013-08-18,19
commits,2013-08-25,23
commits,2013-09-01,29
commits,2013-09-08,19
commits,2013-09-15,16
commits,2013-09-22,21
commits,2013-09-29,34
commits,2013-10-06,19
commits,2013-10-13,22
commits,2013-10-20,18
commits,2013-10-27,48
commits,2013-11-03,55
commits,2013-11-10,31
commits,2013-11-17,29
commits,2013-11-24,48
commits,2013-12-01,27
commits,2013-12-08,26
commits,2013-12-15,40
commits,2013-12-22,49
commits,2013-12-29,38
commits,2014-01-05,8
commits,2014-01-12,5
commits,2014-01-19,53
commits,2014-01-26,64
commits,2014-02-02,34
commits,2014-02-09,43
commits,2014-02-16,27
commits,2014-02-23,31
commits,2014-03-02,33
commits,2014-03-09,44
commits,2014-03-16,23
commits,2014-03-23,48
commits,2014-03-30,36
commits,2014-04-06,29
commits,2014-04-13,38
commits,2014-04-20,37
commits,2014-04-27,13
commits,2014-05-04,28
commits,2014-05-11,31
commits,2014-05-18,51
commits,2014-05-25,29
commits,2014-06-01,39
commits,2014-06-08,25
commits,2014-06-15,65
commits,2014-06-22,38
commits,2014-06-29,46
commits,2014-07-06,76
commits,2014-07-13,51
commits,2014-07-20,70
commits,2014-07-27,58
commits,2014-08-03,30
commits,2014-08-10,40
commits,2014-08-17,43
commits,2014-08-24,45
commits,2014-08-31,45
commits,2014-09-07,58
commits,2014-09-14,47
commits,2014-09-21,54
commits,2014-09-28,52
commits,2014-10-05,69
commits,2014-10-12,75
commits,2014-10-19,43
commits,2014-10-26,42
commits,2014-11-02,54
commits,2014-11-09,67
commits,2014-11-16,47
commits,2014-11-23,33
commits,2014-11-30,117
commits,2014-12-07,67
commits,2014-12-14,56
commits,2014-12-21,44
commits,2014-12-28,51
commits,2015-01-04,37
commits,2015-01-11,53
commits,2015-01-18,55
commits,2015-01-25,36
commits,2015-02-01,21
commits,2015-02-08,36
commits,2015-02-15,31
commits,2015-02-22,10
commits,2015-03-01,7
commits,2015-03-08,19
commits,2015-03-15,32
commits,2015-03-22,32
commits,2015-03-29,18
commits,2015-04-05,34
commits,2015-04-12,19
commits,2015-04-19,19
commits,2015-04-26,20
commits,2015-05-03,48
commits,2015-05-10,52
commits,2015-05-17,37
commits,2015-05-24,61
commits,2015-05-31,37
commits,2015-06-07,33
commits,2015-06-14,60
commits,2015-06-21,37
commits,2015-06-28,49
commits,2015-07-05,22
commits,2015-07-12,42
commits,2015-07-19,32
commits,2015-07-26,33
commits,2015-08-02,35
commits,2015-08-09,37
commits,2015-08-16,40
commits,2015-08-23,24
commits,2015-08-30,34
commits,2015-09-06,13
commits,2015-09-13,48
commits,2015-09-20,18
commits,2015-09-27,37
commits,2015-10-04,43
commits,2015-10-11,56
commits,2015-10-18,55
commits,2015-10-25,39
commits,2015-11-01,56
commits,2015-11-08,51
commits,2015-11-15,40
commits,2015-11-22,103
commits,2015-11-29,78
commits,2015-12-06,68
commits,2015-12-13,124
commits,2015-12-20,29
commits,2015-12-27,27
commits,2016-01-03,20
commits,2016-01-10,9
commits,2016-01-10,58
commits,2016-01-17,29
commits,2016-01-24,37
commits,2016-01-31,27
commits,2016-02-07,22
commits,2016-02-14,31
commits,2016-02-21,7
commits,2016-02-28,16
commits,2016-03-06,10
commits,2016-03-13,14
commits,2016-03-20,49
commits,2016-03-27,18
commits,2016-04-03,29
commits,2016-04-10,43
commits,2016-04-17,32
commits,2016-04-24,42
commits,2016-05-01,45
commits,2016-05-08,30
commits,2016-05-15,46
commits,2016-05-22,35
commits,2016-05-29,17
commits,2016-06-05,34
commits,2016-06-12,58
commits,2016-06-19,49
commits,2016-06-26,57
commits,2016-07-03,19
commits,2016-07-10,22
commits,2016-07-17,11
commits,2016-07-24,23
commits,2016-07-31,35
commits,2016-08-07,15
commits,2016-08-14,19
commits,2016-08-21,27
commits,2016-08-28,53
commits,2016-09-04,19
commits,2016-09-11,54
commits,2016-09-18,29
commits,2016-09-25,38
commits,2016-10-02,37
commits,2016-10-09,32
commits,2016-10-16,20
commits,2016-10-23,49
commits,2016-10-30,28
commits,2016-11-06,46
commits,2016-11-13,59
commits,2016-11-20,23
commits,2016-11-27,39
commits,2016-12-04,47
commits,2016-12-11,36
commits,2016-12-18,33
commits,2016-12-25,31
commits,2017-01-01,26
commits,2017-01-08,78
commits,2017-01-15,83
commits,2017-01-22,38
commits,2017-01-29,32
commits,2017-02-05,32
commits,2017-02-12,51
commits,2017-02-19,40
commits,2017-02-26,32
commits,2017-03-05,62
commits,2017-03-12,56
commits,2017-03-19,27
commits,2017-03-26,62
commits,2017-04-02,57
commits,2017-04-09,46
commits,2017-04-16,37
commits,2017-04-23,52
commits,2017-04-30,20
commits,2017-05-07,56
commits,2017-05-14,42
commits,2017-05-21,29
commits,2017-05-28,29
commits,2017-06-04,46
commits,2017-06-11,90
commits,2017-06-18,25
commits,2017-06-25,23
commits,2017-07-02,59
commits,2017-07-09,40
commits,2017-07-16,47
commits,2017-07-23,57
commits,2017-07-30,26
commits,2017-08-06,25
commits,2017-08-13,32
commits,2017-08-20,41
commits,2017-08-27,28
commits,2017-09-03,28
commits,2017-09-10,69
commits,2017-09-17,35
commits,2017-09-24,27
commits,2017-10-01,33
commits,2017-10-08,28
commits,2017-10-15,46
commits,2017-10-22,33
commits,2017-10-29,15
commits,2017-11-05,23
commits,2017-11-12,62
commits,2017-11-19,52
commits,2017-11-26,14
commits,2017-12-03,23
commits,2017-12-10,28
commits,2017-12-17,31
commits,2017-12-24,40
commits,2017-12-31,10
commits,2018-01-07,20
commits,2018-01-14,28
commits,2018-01-21,23
commits,2018-01-28,43
commits,2018-02-04,39
commits,2018-02-11,45
commits,2018-02-18,48
commits,2018-02-25,18
commits,2018-03-04,31
commits,2018-03-11,57
commits,2018-03-18,38
commits,2018-03-25,50
commits,2018-04-01,53
commits,2018-04-08,77
commits,2018-04-15,78
commits,2018-04-22,54
commits,2018-04-29,51
commits,2018-05-06,49
commits,2018-05-13,34
commits,2018-05-20,38
commits,2018-05-27,22
commits,2018-06-03,33
