author,committer,sha,body,date,URL,issue,files_changed
yyx990803,yyx990803,6b1d431a89f3f7438d01d8cc98546397f0983287,"Revert ""perf: avoid unnecessary re-renders when computed property value did not change (#7824)""

This reverts commit 653aac2c57d15f0e93a2c1cc7e6fad156658df19.",2018-09-18 14:21:55,https://api.github.com/repos/vuejs/vue/commits/6b1d431a89f3f7438d01d8cc98546397f0983287,,"['src/core/instance/state.js', 'src/core/observer/watcher.js', 'test/unit/features/options/computed.spec.js', 'test/unit/modules/observer/watcher.spec.js']"
yyx990803,yyx990803,2ae4e298f1a028e4c3dde7cd9902a11e73eeb104,chore: lockfile maintenance,2018-09-18 14:21:25,https://api.github.com/repos/vuejs/vue/commits/2ae4e298f1a028e4c3dde7cd9902a11e73eeb104,,['yarn.lock']
yyx990803,yyx990803,2a057844fa3ed87f8fa04cb9a86c4162f422be19,chore: update sponsor,2018-09-18 14:21:15,https://api.github.com/repos/vuejs/vue/commits/2a057844fa3ed87f8fa04cb9a86c4162f422be19,,"['BACKERS.md', 'README.md']"
ktsn,yyx990803,a9eb198413e7b1baaf364e93ec3c093734529fe8,fix(types): relax the return type of props default option (#8537),2018-09-18 02:33:58,https://api.github.com/repos/vuejs/vue/commits/a9eb198413e7b1baaf364e93ec3c093734529fe8,,"['types/options.d.ts', 'types/test/options-test.ts']"
Justineo,yyx990803,1e1ce0cac7d6c22c980021cbd3cb207a47e85dfb,"fix: replace hardcoded .parentNode with abstract ops, fix #8713 (#8714)",2018-09-09 21:28:20,https://api.github.com/repos/vuejs/vue/commits/1e1ce0cac7d6c22c980021cbd3cb207a47e85dfb,['8713'],['src/core/vdom/patch.js']
yyx990803,yyx990803,3b43c81216c2e29bd519c447e930d6512b5782e8,chore: update sponsors,2018-08-27 19:05:41,https://api.github.com/repos/vuejs/vue/commits/3b43c81216c2e29bd519c447e930d6512b5782e8,,"['BACKERS.md', 'README.md']"
TimSpeelman,yyx990803,d280937045988097b816c4497322acc8aaca2d86,test(e2e): trigger click on .new-todo instead of footer (#7938),2018-08-20 21:52:06,https://api.github.com/repos/vuejs/vue/commits/d280937045988097b816c4497322acc8aaca2d86,,['test/e2e/specs/todomvc.js']
sodatea,yyx990803,c21b89ebeda4c45024c2a71bc7a292d47ebc7ee1,fix(ssr): fix double escaping of staticClass values (#7859) (#8037),2018-08-20 21:49:18,https://api.github.com/repos/vuejs/vue/commits/c21b89ebeda4c45024c2a71bc7a292d47ebc7ee1,,"['src/server/optimizing-compiler/modules.js', 'test/ssr/ssr-string.spec.js']"
yuriyalekseyev,yyx990803,59860b0a756526f37468655598c68d119f0e74bd,refactor: make the warning messages more explicit (close #7764) (#7881),2018-08-17 14:40:46,https://api.github.com/repos/vuejs/vue/commits/59860b0a756526f37468655598c68d119f0e74bd,['7764'],"['src/core/util/props.js', 'test/unit/features/options/props.spec.js']"
eddyerburgh,yyx990803,c94482743c41e9bfc745aa06d63f7f83bdd56991,"feat: add async option (#8240)

This is an option intended only for testing purposes, and should not be used in
application code.",2018-08-16 20:26:02,https://api.github.com/repos/vuejs/vue/commits/c94482743c41e9bfc745aa06d63f7f83bdd56991,,"['src/core/config.js', 'src/core/observer/dep.js', 'src/core/observer/scheduler.js', 'test/unit/features/global-api/config.spec.js', 'types/test/vue-test.ts', 'types/vue.d.ts']"
clarkdo,yyx990803,833175e9d6e8f47367e49e1752cd149a677cdae8,refactor: ignore control-regex lint for unsafeAttrCharRE (#8601),2018-08-14 13:12:26,https://api.github.com/repos/vuejs/vue/commits/833175e9d6e8f47367e49e1752cd149a677cdae8,,['src/platforms/web/server/util.js']
d-pollard,yyx990803,9476d3e7428b6638d3243045d5a052ad5824d4e7,chore: update backers (#8649),2018-08-14 13:11:43,https://api.github.com/repos/vuejs/vue/commits/9476d3e7428b6638d3243045d5a052ad5824d4e7,,['BACKERS.md']
yyx990803,yyx990803,25a688ee314d82b584ef0f192d4016b75664a616,chore: update backers,2018-08-13 21:48:11,https://api.github.com/repos/vuejs/vue/commits/25a688ee314d82b584ef0f192d4016b75664a616,,['BACKERS.md']
yyx990803,yyx990803,312fd51770ca25a8b6b33603a6a91cebc5c5d3d2,chore: update sponsors,2018-08-13 15:46:04,https://api.github.com/repos/vuejs/vue/commits/312fd51770ca25a8b6b33603a6a91cebc5c5d3d2,,"['BACKERS.md', 'README.md']"
yyx990803,yyx990803,1e77d355add015ab1dd732a0d732bffa4af0f060,chore: new sponsor,2018-08-07 22:02:13,https://api.github.com/repos/vuejs/vue/commits/1e77d355add015ab1dd732a0d732bffa4af0f060,,"['BACKERS.md', 'README.md']"
yyx990803,yyx990803,3d36a443c755bf16f2656a8595dda9076f021a4a,fix: fix potential xss vulnerability in ssr when using v-bind,2018-08-01 19:33:47,https://api.github.com/repos/vuejs/vue/commits/3d36a443c755bf16f2656a8595dda9076f021a4a,,"['src/platforms/web/server/modules/attrs.js', 'src/platforms/web/server/util.js', 'src/server/optimizing-compiler/runtime-helpers.js', 'test/ssr/ssr-string.spec.js']"
