slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,2013w17,1,135.3,135.98,132.1,134.21,0.0,1500520000.0,0.5438,3.88
bitcoin,BTC,Bitcoin,2013w18,1,134.44,147.49,134.0,144.54,0.0,1491160000.0,0.7813,13.49
bitcoin,BTC,Bitcoin,2013w19,1,115.98,124.66,106.64,112.3,0.0,1289470000.0,0.3141,18.02
bitcoin,BTC,Bitcoin,2013w20,1,114.82,118.7,114.5,117.98,0.0,1279980000.0,0.8286,4.2
bitcoin,BTC,Bitcoin,2013w21,1,122.5,123.62,120.12,122.0,0.0,1368910000.0,0.5371,3.5
bitcoin,BTC,Bitcoin,2013w22,1,133.5,135.47,124.7,129.75,0.0,1495520000.0,0.4689,10.77
bitcoin,BTC,Bitcoin,2013w23,1,122.5,122.5,116.0,122.22,0.0,1376180000.0,0.9569,6.5
bitcoin,BTC,Bitcoin,2013w24,1,100.44,110.1,95.0,106.35,0.0,1131570000.0,0.7517,15.1
bitcoin,BTC,Bitcoin,2013w25,1,99.9,102.21,99.0,101.7,0.0,1128720000.0,0.8411,3.21
bitcoin,BTC,Bitcoin,2013w26,1,107.9,108.33,100.98,102.74,0.0,1222030000.0,0.2395,7.35
bitcoin,BTC,Bitcoin,2013w27,1,97.51,97.66,86.3,88.05,0.0,1107130000.0,0.154,11.36
bitcoin,BTC,Bitcoin,2013w28,1,76.5,80.0,72.6,76.52,0.0,870912000.0,0.5297,7.4
bitcoin,BTC,Bitcoin,2013w29,1,93.61,101.9,93.11,98.4,0.0,1068520000.0,0.6018,8.79
bitcoin,BTC,Bitcoin,2013w30,1,92.0,92.0,90.08,91.61,0.0,1053000000.0,0.7969,1.92
bitcoin,BTC,Bitcoin,2013w31,1,98.6,102.5,98.45,101.2,0.0,1131340000.0,0.679,4.05
bitcoin,BTC,Bitcoin,2013w32,1,105.12,107.77,105.0,106.22,0.0,1209520000.0,0.4404,2.77
bitcoin,BTC,Bitcoin,2013w33,1,105.0,108.0,103.5,106.64,0.0,1211790000.0,0.6978,4.5
bitcoin,BTC,Bitcoin,2013w34,1,113.38,123.06,111.77,119.0,0.0,1312160000.0,0.6404,11.29
bitcoin,BTC,Bitcoin,2013w35,1,122.11,122.75,119.93,120.06,0.0,1417200000.0,0.0461,2.82
bitcoin,BTC,Bitcoin,2013w36,1,138.63,146.5,134.89,135.85,0.0,1613600000.0,0.0827,11.61
bitcoin,BTC,Bitcoin,2013w37,1,121.86,129.06,119.75,127.11,0.0,1422180000.0,0.7905,9.31
bitcoin,BTC,Bitcoin,2013w38,1,130.86,132.72,129.77,131.72,0.0,1531820000.0,0.6609999999999999,2.95
bitcoin,BTC,Bitcoin,2013w39,1,128.98,132.72,125.66,125.95,0.0,1513940000.0,0.0411,7.06
bitcoin,BTC,Bitcoin,2013w40,1,137.15,138.35,130.27,133.0,0.0,1614350000.0,0.3379,8.08
bitcoin,BTC,Bitcoin,2013w41,1,129.43,130.27,126.36,126.94,0.0,1527760000.0,0.1483,3.91
bitcoin,BTC,Bitcoin,2013w42,1,139.27,144.12,138.9,140.52,0.0,1648470000.0,0.3103,5.22
bitcoin,BTC,Bitcoin,2013w43,1,174.8,184.82,174.8,182.21,0.0,2075580000.0,0.7395,10.02
bitcoin,BTC,Bitcoin,2013w44,1,196.21,198.62,192.06,198.55,0.0,2337100000.0,0.9893,6.56
bitcoin,BTC,Bitcoin,2013w45,1,214.66,231.01,213.94,229.1,0.0,2564070000.0,0.8881,17.07
bitcoin,BTC,Bitcoin,2013w46,1,325.41,351.27,311.78,342.44,0.0,3896130000.0,0.7764,39.49
bitcoin,BTC,Bitcoin,2013w47,1,496.58,703.78,494.94,703.56,0.0,5961500000.0,0.9989,208.84
bitcoin,BTC,Bitcoin,2013w48,1,773.02,810.68,754.43,799.11,0.0,9302270000.0,0.7943,56.25
bitcoin,BTC,Bitcoin,2013w49,1,951.42,1055.42,938.41,1043.33,0.0,11478300000.0,0.8967,117.01
bitcoin,BTC,Bitcoin,2013w50,1,793.8,921.93,780.9,893.19,0.0,9602480000.0,0.7962,141.03
bitcoin,BTC,Bitcoin,2013w51,1,880.33,882.25,668.25,705.97,0.0,10676600000.0,0.1763,214.0
bitcoin,BTC,Bitcoin,2013w52,1,613.06,680.91,611.04,673.41,0.0,7455670000.0,0.8927,69.87
bitcoin,BTC,Bitcoin,2014w01,1,741.35,766.6,740.24,756.13,20707700.0,9037000000.0,0.6028,26.36
bitcoin,BTC,Bitcoin,2014w02,1,936.05,1017.12,905.71,953.29,85565700.0,11410400000.0,0.4271,111.41
bitcoin,BTC,Bitcoin,2014w03,1,860.19,861.29,806.05,841.2,45580900.0,10541500000.0,0.6363,55.24
bitcoin,BTC,Bitcoin,2014w04,1,871.39,886.39,853.87,870.2,27652700.0,10704800000.0,0.5022,32.52
bitcoin,BTC,Bitcoin,2014w05,1,884.6,893.0,757.11,771.39,49233600.0,10894400000.0,0.1051,135.89
bitcoin,BTC,Bitcoin,2014w06,1,824.08,826.48,807.22,823.83,13940100.0,10174100000.0,0.8624,19.26
bitcoin,BTC,Bitcoin,2014w07,1,681.32,703.71,550.5,681.03,112758000.0,8431680000.0,0.852,153.21
bitcoin,BTC,Bitcoin,2014w08,1,614.23,656.95,607.31,626.27,31948400.0,7620580000.0,0.382,49.64
bitcoin,BTC,Bitcoin,2014w09,1,606.04,607.61,538.7,546.32,57893900.0,7537080000.0,0.1106,68.91
bitcoin,BTC,Bitcoin,2014w10,1,562.56,702.91,560.52,667.76,96056900.0,7013060000.0,0.7531,142.39
bitcoin,BTC,Bitcoin,2014w11,1,636.33,644.76,615.02,627.79,20639800.0,7950820000.0,0.4294,29.74
bitcoin,BTC,Bitcoin,2014w12,1,630.92,632.68,616.86,622.37,14648200.0,7901040000.0,0.3483,15.82
bitcoin,BTC,Bitcoin,2014w13,1,562.51,586.56,551.77,583.41,22706900.0,7061380000.0,0.9095,34.79
bitcoin,BTC,Bitcoin,2014w14,1,462.3,483.02,443.37,457.0,28254000.0,5816910000.0,0.3438,39.65
bitcoin,BTC,Bitcoin,2014w15,1,461.47,462.56,445.12,449.42,15616600.0,5821160000.0,0.2466,17.44
bitcoin,BTC,Bitcoin,2014w16,1,414.83,469.75,407.37,458.79,50730200.0,5244350000.0,0.8243,62.38
bitcoin,BTC,Bitcoin,2014w17,1,497.74,510.57,493.2,495.77,15171400.0,6307460000.0,0.14800000000000002,17.37
bitcoin,BTC,Bitcoin,2014w18,1,430.72,447.53,422.94,440.29,23876600.0,5470650000.0,0.7056,24.59
bitcoin,BTC,Bitcoin,2014w19,1,434.78,440.97,427.62,433.48,10004800.0,5534140000.0,0.439,13.35
bitcoin,BTC,Bitcoin,2014w20,1,438.3,442.26,434.23,441.46,7383770.0,5591520000.0,0.9004,8.03
bitcoin,BTC,Bitcoin,2014w21,1,446.08,447.56,443.1,446.18,6242620.0,5703760000.0,0.6906,4.46
bitcoin,BTC,Bitcoin,2014w22,1,571.39,588.39,565.33,583.42,29959800.0,7322870000.0,0.7845,23.06
bitcoin,BTC,Bitcoin,2014w23,1,629.64,665.5,618.75,660.62,45450200.0,8086630000.0,0.8956,46.75
bitcoin,BTC,Bitcoin,2014w24,1,655.64,657.7,644.39,649.16,19065400.0,8439070000.0,0.3584,13.31
bitcoin,BTC,Bitcoin,2014w25,1,592.65,608.72,587.07,592.19,28677500.0,7645650000.0,0.2365,21.65
bitcoin,BTC,Bitcoin,2014w26,1,602.16,603.21,586.34,593.98,14053800.0,7787160000.0,0.4529,16.87
bitcoin,BTC,Bitcoin,2014w27,1,602.62,645.15,599.88,639.8,46422400.0,7812050000.0,0.8818,45.27
bitcoin,BTC,Bitcoin,2014w28,1,635.46,637.16,617.01,624.09,17813600.0,8253710000.0,0.3514,20.15
bitcoin,BTC,Bitcoin,2014w29,1,626.56,627.34,617.32,619.32,12706800.0,8155140000.0,0.1996,10.02
bitcoin,BTC,Bitcoin,2014w30,1,623.95,624.09,619.11,622.21,10711900.0,8138520000.0,0.6225,4.98
bitcoin,BTC,Bitcoin,2014w31,1,594.14,594.57,575.18,585.69,19316400.0,7765040000.0,0.542,19.39
bitcoin,BTC,Bitcoin,2014w32,1,586.23,591.95,583.74,588.78,9867570.0,7677850000.0,0.6139,8.21
bitcoin,BTC,Bitcoin,2014w33,1,591.28,591.51,574.05,576.37,14764200.0,7760290000.0,0.1329,17.46
bitcoin,BTC,Bitcoin,2014w34,1,491.51,499.37,443.85,461.46,50783800.0,6465210000.0,0.3172,55.52
bitcoin,BTC,Bitcoin,2014w35,1,508.22,508.22,499.23,502.5,18356700.0,6700090000.0,0.3637,8.99
bitcoin,BTC,Bitcoin,2014w36,1,477.79,485.31,471.91,474.88,20432000.0,6313120000.0,0.2216,13.4
bitcoin,BTC,Bitcoin,2014w37,1,481.81,489.83,468.79,474.6,30238000.0,6379410000.0,0.2761,21.04
bitcoin,BTC,Bitcoin,2014w38,1,477.76,478.62,474.02,475.37,15345200.0,6339090000.0,0.2935,4.6
bitcoin,BTC,Bitcoin,2014w39,1,399.1,406.92,397.13,402.15,24127600.0,5307360000.0,0.5128,9.79
bitcoin,BTC,Bitcoin,2014w40,1,376.93,385.21,372.24,375.47,32497700.0,5022360000.0,0.249,12.97
bitcoin,BTC,Bitcoin,2014w41,1,320.39,345.13,302.56,330.08,79011800.0,4277430000.0,0.6465,42.57
bitcoin,BTC,Bitcoin,2014w42,1,377.92,397.23,368.9,390.41,35221400.0,5055290000.0,0.7593,28.33
bitcoin,BTC,Bitcoin,2014w43,1,389.23,390.08,378.25,382.85,16419000.0,5216560000.0,0.3888,11.83
bitcoin,BTC,Bitcoin,2014w44,1,354.78,358.63,349.81,352.99,13033000.0,4764020000.0,0.3605,8.82
bitcoin,BTC,Bitcoin,2014w45,1,325.57,334.0,325.48,327.55,12948500.0,4380950000.0,0.243,8.52
bitcoin,BTC,Bitcoin,2014w46,1,362.26,374.82,357.56,366.92,30450100.0,4884490000.0,0.5423,17.26
bitcoin,BTC,Bitcoin,2014w47,1,388.35,410.2,377.5,387.41,41518800.0,5246000000.0,0.3031,32.7
bitcoin,BTC,Bitcoin,2014w48,1,366.95,387.21,366.67,376.9,30930100.0,4966080000.0,0.4981,20.54
bitcoin,BTC,Bitcoin,2014w49,1,378.25,383.66,376.67,379.25,11763000.0,5128700000.0,0.3691,6.99
bitcoin,BTC,Bitcoin,2014w50,1,374.96,376.03,361.89,361.91,18898700.0,5093180000.0,0.0014,14.14
bitcoin,BTC,Bitcoin,2014w51,1,351.36,351.81,344.93,345.35,17264200.0,4781560000.0,0.061,6.88
bitcoin,BTC,Bitcoin,2014w52,1,321.07,334.12,320.43,331.89,22315100.0,4376890000.0,0.8371,13.69
