,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
3,bitcoin,BTC,Bitcoin,2013-05-01,1,139.0,139.89,107.72,116.99,0.0,1542820000.0,0.2882,32.17
34,bitcoin,BTC,Bitcoin,2013-06-01,1,128.81,129.78,127.2,129.3,0.0,1445800000.0,0.8140000000000001,2.58
64,bitcoin,BTC,Bitcoin,2013-07-01,1,97.51,97.66,86.3,88.05,0.0,1107130000.0,0.154,11.36
95,bitcoin,BTC,Bitcoin,2013-08-01,1,106.21,108.0,103.01,104.0,0.0,1220190000.0,0.1984,4.99
126,bitcoin,BTC,Bitcoin,2013-09-01,1,135.14,145.81,134.81,138.34,0.0,1572230000.0,0.3209,11.0
156,bitcoin,BTC,Bitcoin,2013-10-01,1,132.68,134.63,131.55,132.18,0.0,1562270000.0,0.2045,3.08
187,bitcoin,BTC,Bitcoin,2013-11-01,1,203.9,206.65,202.13,206.18,0.0,2432470000.0,0.8959999999999999,4.52
217,bitcoin,BTC,Bitcoin,2013-12-01,1,1128.92,1133.08,801.82,955.85,0.0,13614300000.0,0.465,331.26
248,bitcoin,BTC,Bitcoin,2014-01-01,1,754.97,775.35,754.97,771.4,22489400.0,9203030000.0,0.8062,20.38
279,bitcoin,BTC,Bitcoin,2014-02-01,1,828.61,853.52,827.11,832.58,19668700.0,10222300000.0,0.2071,26.41
307,bitcoin,BTC,Bitcoin,2014-03-01,1,549.92,573.38,539.29,565.61,18668100.0,6851590000.0,0.7721,34.09
338,bitcoin,BTC,Bitcoin,2014-04-01,1,457.0,495.34,457.0,478.38,35685800.0,5752280000.0,0.5576,38.34
368,bitcoin,BTC,Bitcoin,2014-05-01,1,447.63,460.61,447.63,457.76,12871800.0,5690670000.0,0.7804,12.98
399,bitcoin,BTC,Bitcoin,2014-06-01,1,623.69,671.51,619.91,630.23,45259100.0,8007450000.0,0.2,51.6
429,bitcoin,BTC,Bitcoin,2014-07-01,1,641.39,657.86,640.11,640.81,38446300.0,8316770000.0,0.0394,17.75
460,bitcoin,BTC,Bitcoin,2014-08-01,1,586.2,597.92,583.63,594.92,18215900.0,7670500000.0,0.7901,14.29
491,bitcoin,BTC,Bitcoin,2014-09-01,1,477.79,485.31,471.91,474.88,20432000.0,6313120000.0,0.2216,13.4
521,bitcoin,BTC,Bitcoin,2014-10-01,1,387.43,391.38,380.78,383.62,26229400.0,5165060000.0,0.2679,10.6
552,bitcoin,BTC,Bitcoin,2014-11-01,1,338.65,340.53,321.06,325.75,16677200.0,4554320000.0,0.2409,19.47
582,bitcoin,BTC,Bitcoin,2014-12-01,1,378.25,383.66,376.67,379.25,11763000.0,5128700000.0,0.3691,6.99
613,bitcoin,BTC,Bitcoin,2015-01-01,1,320.44,320.44,314.0,314.25,8036550.0,4380820000.0,0.0388,6.44
644,bitcoin,BTC,Bitcoin,2015-02-01,1,216.87,231.57,212.01,226.97,29128500.0,2989460000.0,0.7648,19.56
672,bitcoin,BTC,Bitcoin,2015-03-01,1,254.28,261.66,245.93,260.2,25213700.0,3532050000.0,0.9072,15.73
703,bitcoin,BTC,Bitcoin,2015-04-01,1,244.22,247.54,241.16,247.27,22877200.0,3420100000.0,0.9577,6.38
733,bitcoin,BTC,Bitcoin,2015-05-01,1,235.94,238.97,232.08,232.08,18815300.0,3329190000.0,0.0,6.89
