author,committer,sha,body,date,URL,issue,files_changed
UrbanSharon,web-flow,1d82a750b3ba19f93b2e8395f31d65dd2a8639f2,Update README.md,2017-11-26 14:27:51,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1d82a750b3ba19f93b2e8395f31d65dd2a8639f2,,['README.md']
UrbanSharon,web-flow,1dace30e47cac2bdd9563cbe2a3f2bb85cb66a69,Update README.md,2017-11-26 14:24:22,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1dace30e47cac2bdd9563cbe2a3f2bb85cb66a69,,['README.md']
UrbanSharon,web-flow,af2e9654ba4d1a4a2cca7815b33c9c4b00dd4a02,Update README.md,2017-11-26 14:22:15,https://api.github.com/repos/zenprotocol/zen-wallet/commits/af2e9654ba4d1a4a2cca7815b33c9c4b00dd4a02,,['README.md']
UrbanSharon,web-flow,8faa2f2f477b3f04340eaea750490453ac305645,Update README.md,2017-11-26 14:19:45,https://api.github.com/repos/zenprotocol/zen-wallet/commits/8faa2f2f477b3f04340eaea750490453ac305645,,['README.md']
topynate,web-flow,5cf0fbf81817157bb7761d0e454d4e819854bd49,"Merge pull request #1 from dashengSun/translation

Add Chinese translation for readme.",2017-11-15 14:46:17,https://api.github.com/repos/zenprotocol/zen-wallet/commits/5cf0fbf81817157bb7761d0e454d4e819854bd49,,['README_CH.md']
dashengSun,dashengSun,1ac79e687210b0772007ef9ac30fbbbfacb59d20,Add Chinese translation for readme.,2017-11-15 14:32:28,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1ac79e687210b0772007ef9ac30fbbbfacb59d20,,['README_CH.md']
elanperach,web-flow,ec04780eeab7d45b06395b7fe2055733cff5c0e1,Update README.md,2017-11-15 10:53:55,https://api.github.com/repos/zenprotocol/zen-wallet/commits/ec04780eeab7d45b06395b7fe2055733cff5c0e1,,['README.md']
elanperach,web-flow,aca810bb578859bafe0d3b0b3ec73fc0a3ced2c3,Update README.md,2017-11-14 10:10:10,https://api.github.com/repos/zenprotocol/zen-wallet/commits/aca810bb578859bafe0d3b0b3ec73fc0a3ced2c3,,['README.md']
topynate,web-flow,8fe6abc8a082372cf5594886eeb071f55240bd9d,Update README.md,2017-11-13 16:37:39,https://api.github.com/repos/zenprotocol/zen-wallet/commits/8fe6abc8a082372cf5594886eeb071f55240bd9d,,['README.md']
topynate,topynate,2835e5b78fc851a3f784aa64df44e1537efeeb6e,"Update readme, add contributors file and temporary license",2017-11-08 12:19:50,https://api.github.com/repos/zenprotocol/zen-wallet/commits/2835e5b78fc851a3f784aa64df44e1537efeeb6e,,"['CONTRIBUTORS.md', 'LICENSE.md', 'README.md']"
somdoron,somdoron,61ba09a2072bf873821a7cf97e7870c46b5ceb0a,"Merge branch 'master' into 'master'

hopefully fix windows issues

See merge request mazudaoyi/zen-wallet!77",2017-11-07 14:17:06,https://api.github.com/repos/zenprotocol/zen-wallet/commits/61ba09a2072bf873821a7cf97e7870c46b5ceb0a,,"['tools/fstar/mono/FSharp.Compatibility.OCaml.dll', 'tools/fstar/mono/FSharp.Core.dll', 'tools/fstar/mono/FSharp.Core.xml', 'tools/fstar/mono/basic.dll', 'tools/fstar/mono/basic.pdb', 'tools/fstar/mono/extraction.dll', 'tools/fstar/mono/extraction.pdb', 'tools/fstar/mono/format.dll', 'tools/fstar/mono/format.pdb', 'tools/fstar/mono/fsdoc.dll', 'tools/fstar/mono/fsdoc.pdb', 'tools/fstar/mono/fstar.exe', 'tools/fstar/mono/fstar.pdb', 'tools/fstar/mono/parser.dll', 'tools/fstar/mono/parser.pdb', 'tools/fstar/mono/prettyprint.dll', 'tools/fstar/mono/prettyprint.pdb', 'tools/fstar/mono/reflection.dll', 'tools/fstar/mono/reflection.pdb', 'tools/fstar/mono/smtencoding.dll', 'tools/fstar/mono/smtencoding.pdb', 'tools/fstar/mono/syntax.dll', 'tools/fstar/mono/syntax.pdb', 'tools/fstar/mono/tactics.dll', 'tools/fstar/mono/tactics.pdb', 'tools/fstar/mono/tests.exe', 'tools/fstar/mono/tests.pdb', 'tools/fstar/mono/tosyntax.dll', 'tools/fstar/mono/tosyntax.pdb', 'tools/fstar/mono/typechecker.dll', 'tools/fstar/mono/typechecker.pdb']"
A-Manning,A-Manning,0a2d10ff91f7a5efa59e2d73ca4cee75e39ce789,hopefully fix windows issues,2017-11-07 14:15:20,https://api.github.com/repos/zenprotocol/zen-wallet/commits/0a2d10ff91f7a5efa59e2d73ca4cee75e39ce789,,"['tools/fstar/mono/FSharp.Compatibility.OCaml.dll', 'tools/fstar/mono/FSharp.Core.dll', 'tools/fstar/mono/FSharp.Core.xml', 'tools/fstar/mono/basic.dll', 'tools/fstar/mono/basic.pdb', 'tools/fstar/mono/extraction.dll', 'tools/fstar/mono/extraction.pdb', 'tools/fstar/mono/format.dll', 'tools/fstar/mono/format.pdb', 'tools/fstar/mono/fsdoc.dll', 'tools/fstar/mono/fsdoc.pdb', 'tools/fstar/mono/fstar.exe', 'tools/fstar/mono/fstar.pdb', 'tools/fstar/mono/parser.dll', 'tools/fstar/mono/parser.pdb', 'tools/fstar/mono/prettyprint.dll', 'tools/fstar/mono/prettyprint.pdb', 'tools/fstar/mono/reflection.dll', 'tools/fstar/mono/reflection.pdb', 'tools/fstar/mono/smtencoding.dll', 'tools/fstar/mono/smtencoding.pdb', 'tools/fstar/mono/syntax.dll', 'tools/fstar/mono/syntax.pdb', 'tools/fstar/mono/tactics.dll', 'tools/fstar/mono/tactics.pdb', 'tools/fstar/mono/tests.exe', 'tools/fstar/mono/tests.pdb', 'tools/fstar/mono/tosyntax.dll', 'tools/fstar/mono/tosyntax.pdb', 'tools/fstar/mono/typechecker.dll', 'tools/fstar/mono/typechecker.pdb']"
somdoron,somdoron,6dfbfd6e47e68d49e08e04c05ff4d7ffdf278d73,"Merge branch 'master' into 'master'

Hopefully fix FSharp.Core issues

See merge request mazudaoyi/zen-wallet!74",2017-11-07 13:01:01,https://api.github.com/repos/zenprotocol/zen-wallet/commits/6dfbfd6e47e68d49e08e04c05ff4d7ffdf278d73,,"['Zulib/build.sh', 'Zulib/fstar/FStar.Int.fst.hints', 'Zulib/fstar/FStar.Int64.fst.hints', 'Zulib/fstar/FStar.Mul.fst.hints', 'Zulib/fstar/FStar.Option.fsti.hints', 'Zulib/fstar/FStar.Pervasives.Native.fst.hints', 'Zulib/fstar/FStar.Pervasives.fst.hints', 'Zulib/fstar/FStar.UInt.fst.hints', 'Zulib/fstar/FStar.UInt32.fst.hints', 'Zulib/fstar/FStar.UInt64.fst.hints', 'Zulib/fstar/FStar.UInt8.fst.hints', 'Zulib/fstar/Zen.Array.Extracted.fst.hints', 'Zulib/fstar/Zen.Array.Realized.fsti.hints', 'Zulib/fstar/Zen.Array.fst.hints', 'Zulib/fstar/Zen.Base.fst.hints', 'Zulib/fstar/Zen.ByteArray.fst.hints', 'Zulib/fstar/Zen.Cost.Extracted.fst.hints', 'Zulib/fstar/Zen.Cost.Realized.fst.hints', 'Zulib/fstar/Zen.Cost.fst.hints', 'Zulib/fstar/Zen.Crypto.fsti.hints', 'Zulib/fstar/Zen.Error.fst.hints', 'Zulib/fstar/Zen.ErrorT.fst.hints', 'Zulib/fstar/Zen.Merkle.fsti.hints', 'Zulib/fstar/Zen.Option.fst.hints', 'Zulib/fstar/Zen.OptionT.fst.hints', 'Zulib/fstar/Zen.Sha3.Realized.fsti.hints', 'Zulib/fstar/Zen.Tuple.fst.hints', 'Zulib/fstar/Zen.TupleT.fst.hints', 'Zulib/fstar/Zen.Types.Extracted.fst.hints', 'Zulib/fstar/Zen.Types.Realized.fsti.hints', 'Zulib/fstar/Zen.Types.Serialized.Realized.fsti.hints', 'Zulib/fstar/Zen.Types.fst.hints', 'Zulib/fstar/Zen.Util.fsti.hints', 'Zulib/fstar/Zen.Vector.fst.hints', 'Zulib/fstar/Zen.Wallet.fsti.hints', 'Zulib/fstar/prims.fst', 'Zulib/fstar/prims.fst.hints', 'tools/fstar/mono/FSharp.Core.dll', 'tools/fstar/mono/basic.dll', 'tools/fstar/mono/basic.pdb', 'tools/fstar/mono/extraction.dll', 'tools/fstar/mono/extraction.dll.config', 'tools/fstar/mono/extraction.pdb', 'tools/fstar/mono/format.dll', 'tools/fstar/mono/format.pdb', 'tools/fstar/mono/fsdoc.dll', 'tools/fstar/mono/fsdoc.pdb', 'tools/fstar/mono/fstar.exe', 'tools/fstar/mono/fstar.exe.config', 'tools/fstar/mono/fstar.pdb', 'tools/fstar/mono/parser.dll', 'tools/fstar/mono/parser.pdb', 'tools/fstar/mono/prettyprint.dll', 'tools/fstar/mono/prettyprint.pdb', 'tools/fstar/mono/reflection.dll', 'tools/fstar/mono/reflection.pdb', 'tools/fstar/mono/smtencoding.dll', 'tools/fstar/mono/smtencoding.pdb', 'tools/fstar/mono/syntax.dll', 'tools/fstar/mono/syntax.pdb', 'tools/fstar/mono/tactics.dll', 'tools/fstar/mono/tactics.pdb', 'tools/fstar/mono/tests.exe', 'tools/fstar/mono/tests.pdb', 'tools/fstar/mono/tosyntax.dll', 'tools/fstar/mono/tosyntax.pdb', 'tools/fstar/mono/typechecker.dll', 'tools/fstar/mono/typechecker.pdb']"
somdoron,somdoron,101695c2bfff6532607c3bf28e7ff9e14c871460,"Merge branch 'alpha-system-fixes' into 'master'

Alpha system fixes

See merge request mazudaoyi/zen-wallet!75",2017-11-07 13:00:47,https://api.github.com/repos/zenprotocol/zen-wallet/commits/101695c2bfff6532607c3bf28e7ff9e14c871460,,"['ContractsDiscovery.Web/StockAPI.cs', 'Network/NodeManager.cs', 'Network/Protocol/Serialization/WireSerialization.cs', 'Zen/Program.cs', 'Zen/alpha_client.json', 'Zen/alpha_host.json', 'Zen/genesis_outputs.json', 'packaging/linux/packlinux.sh']"
A-Manning,A-Manning,eb7594841c6a2a589793bcab7b7005159c500f23,Update prims,2017-11-07 12:21:20,https://api.github.com/repos/zenprotocol/zen-wallet/commits/eb7594841c6a2a589793bcab7b7005159c500f23,,['Zulib/fstar/prims.fst']
A-Manning,A-Manning,1538ae6f17128ef47bd518b86a0227eb571491b7,Fix ulimit bug for linux,2017-11-07 12:20:55,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1538ae6f17128ef47bd518b86a0227eb571491b7,,['Zulib/build.sh']
A-Manning,A-Manning,1001ebf50d1b382f8074a733d1cf79168a5fca2d,Regenerate Hints,2017-11-07 12:20:17,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1001ebf50d1b382f8074a733d1cf79168a5fca2d,,"['Zulib/fstar/FStar.Int.fst.hints', 'Zulib/fstar/FStar.Int64.fst.hints', 'Zulib/fstar/FStar.Mul.fst.hints', 'Zulib/fstar/FStar.Option.fsti.hints', 'Zulib/fstar/FStar.Pervasives.Native.fst.hints', 'Zulib/fstar/FStar.Pervasives.fst.hints', 'Zulib/fstar/FStar.UInt.fst.hints', 'Zulib/fstar/FStar.UInt32.fst.hints', 'Zulib/fstar/FStar.UInt64.fst.hints', 'Zulib/fstar/FStar.UInt8.fst.hints', 'Zulib/fstar/Zen.Array.Extracted.fst.hints', 'Zulib/fstar/Zen.Array.Realized.fsti.hints', 'Zulib/fstar/Zen.Array.fst.hints', 'Zulib/fstar/Zen.Base.fst.hints', 'Zulib/fstar/Zen.ByteArray.fst.hints', 'Zulib/fstar/Zen.Cost.Extracted.fst.hints', 'Zulib/fstar/Zen.Cost.Realized.fst.hints', 'Zulib/fstar/Zen.Cost.fst.hints', 'Zulib/fstar/Zen.Crypto.fsti.hints', 'Zulib/fstar/Zen.Error.fst.hints', 'Zulib/fstar/Zen.ErrorT.fst.hints', 'Zulib/fstar/Zen.Merkle.fsti.hints', 'Zulib/fstar/Zen.Option.fst.hints', 'Zulib/fstar/Zen.OptionT.fst.hints', 'Zulib/fstar/Zen.Sha3.Realized.fsti.hints', 'Zulib/fstar/Zen.Tuple.fst.hints', 'Zulib/fstar/Zen.TupleT.fst.hints', 'Zulib/fstar/Zen.Types.Extracted.fst.hints', 'Zulib/fstar/Zen.Types.Realized.fsti.hints', 'Zulib/fstar/Zen.Types.Serialized.Realized.fsti.hints', 'Zulib/fstar/Zen.Types.fst.hints', 'Zulib/fstar/Zen.Util.fsti.hints', 'Zulib/fstar/Zen.Vector.fst.hints', 'Zulib/fstar/Zen.Wallet.fsti.hints', 'Zulib/fstar/prims.fst.hints']"
SharonU,SharonU,5bf80f1586674ede9011898afdb53e8e6e04a4a8,linux packaging fix,2017-11-07 12:15:12,https://api.github.com/repos/zenprotocol/zen-wallet/commits/5bf80f1586674ede9011898afdb53e8e6e04a4a8,,['packaging/linux/packlinux.sh']
