author,num_issues,num_pulls,num_commits,status
007pig,1,0,0,non-member
0x9F,1,0,0,non-member
0xfff,1,0,0,non-member
1354092549,1,0,0,non-member
1Hyena,0,1,0,non-member
1Il1,1,0,0,non-member
1mbtxn,0,1,0,non-member
2100000000000000,14,14,11,non-member
251Labs,0,15,13,non-member
26rahulsingh,1,0,0,non-member
2HCHO,0,1,0,non-member
30amak,1,0,0,non-member
315985314,1,0,0,non-member
3315151515,1,0,0,non-member
34ro,0,2,1,non-member
39otrebla,1,0,0,non-member
3s3s,3,1,0,non-member
4175195580,1,0,0,non-member
4tar,0,10,4,non-member
4tochka,1,0,0,non-member
5-digits,1,0,0,non-member
532479301,0,1,1,non-member
6coind,1,0,0,non-member
6hundred,1,0,0,non-member
6iva4a,1,0,0,non-member
777gor,1,0,0,non-member
9124,1,0,0,non-member
94m3k1n9,0,1,1,non-member
ABISprotocol,2,0,0,non-member
ABruihler,1,0,0,non-member
AEtherSurfer,1,0,0,non-member
AGBrown,1,0,0,non-member
AKJ,1,0,0,non-member
ALLMINER,1,0,0,non-member
AaronM04,1,0,0,non-member
Abdula-2015,1,0,0,non-member
AbhinavJKJ,1,0,0,non-member
AbrahamJewowich,0,0,1,non-member
Acadian,1,0,0,non-member
AdamSEY,3,0,0,non-member
AdvancedStyle,4,0,0,non-member
Aesti,0,1,1,non-member
AjkP,0,1,0,non-member
AkioNak,1,10,11,non-member
AlekSi,1,0,0,non-member
Alex-van-der-Peet,0,3,1,non-member
AlexHeino,1,0,0,non-member
AlexJeng,0,0,1,non-member
AlexanderAA,1,0,0,non-member
AliceWonderMiscreations,3,3,2,non-member
Alkaris,1,0,0,non-member
AllanDoensen,1,2,1,non-member
Altoidnerd,1,1,1,non-member
Altoidnerd1,0,0,1,non-member
Amiga500,1,0,0,non-member
AmirAbrams,0,4,2,non-member
AndreyKarpov,1,0,0,non-member
AndyCapeTown,1,0,0,non-member
AngelTs,1,0,0,non-member
Ankarrr,1,0,0,non-member
Annyonghaseyo,1,0,0,non-member
Ano59,1,0,0,non-member
Apollo1993,1,0,0,non-member
Arezohayeman,1,0,0,non-member
Aristondo,1,0,0,non-member
Arnavion,1,1,1,non-member
AtsukiTak,0,1,1,non-member
Ayms,5,0,0,non-member
Azulan,4,0,0,non-member
BTCDDev,0,1,0,non-member
BTCTaras,1,1,0,non-member
BTaskaya,0,1,0,non-member
BeRichh,1,0,0,non-member
Belkaar,6,0,0,non-member
Ben002,1,0,0,non-member
BenjiWiebe,1,0,0,non-member
Benudek,1,0,0,non-member
Bige086,1,0,0,non-member
BitBargain,1,0,0,non-member
BitWaspBitWasp,3,0,0,non-member
BitcoinPRReadingGroup,0,0,1,non-member
BitcoinUser2016,1,0,0,non-member
BitcoinVegan,1,0,0,non-member
Bitoma,2,0,0,non-member
BitonicEelis,0,4,3,non-member
BitpopCoin,1,0,0,non-member
BitsInMyBlood,0,1,1,non-member
Bitsky,1,0,0,non-member
Blackadderrr,1,0,0,non-member
BoBeR182,1,0,0,non-member
Bobalot,0,1,0,non-member
Bozbo,1,0,0,non-member
BramdeBoer,1,0,0,non-member
BrogulT,1,0,0,non-member
Burrito-Bazooka,1,0,0,non-member
Bushstar,1,0,0,non-member
C0deAi,0,1,0,non-member
C4colo,1,0,0,non-member
CAFxX,0,4,2,non-member
CJHackerz,1,0,0,non-member
CYB3R-JUNKI3,1,0,0,non-member
Cannacoin-Project,1,0,0,non-member
Cannon-Ciota,0,1,0,non-member
CannotCompileBitcoinOnDebian,1,0,0,non-member
Cantoria,1,0,0,non-member
Celean,2,0,0,non-member
CertifiedMrLuke,0,1,0,non-member
ChainQuery,1,3,0,non-member
Chaintool,1,0,0,non-member
Chaz27,1,0,0,non-member
Chemisist,0,1,0,non-member
ChoHag,2,2,3,non-member
ChrisCalderon,1,0,0,non-member
Christewart,0,8,8,non-member
ChristopherFranko,0,1,0,non-member
ChristopherZhong,1,0,0,non-member
Ciemon,0,1,1,non-member
Cleberw3b,1,0,0,non-member
CoDCoyote,3,0,0,non-member
Code-nomad,1,0,0,non-member
CodeShark,0,29,32,non-member
CohibAA,0,1,1,non-member
ColErr,1,0,0,non-member
Commissar0617,1,0,0,non-member
Compunologist,1,0,0,non-member
Connecttoby,1,0,0,non-member
ContinuumQ,1,0,0,non-member
Corsairs,3,0,0,non-member
Cr4shOv3rrid3,0,6,0,non-member
CraniumDad,1,0,0,non-member
Crasha,1,0,0,non-member
Crinklebine,0,2,0,non-member
CryptAxe,1,6,4,non-member
Crypto2,2,0,0,non-member
CryptoDJ,0,1,1,non-member
CryptoManiac,0,1,0,non-member
CydeWeys,1,0,0,non-member
CypherGrue,0,0,1,non-member
DJMorgan,0,1,0,non-member
DanielFragaBR,2,0,0,non-member
DannyHamilton,0,1,0,non-member
DarkHelmet433,1,0,0,non-member
DarrellDuane,1,0,0,non-member
DaveFromBinary,0,1,1,non-member
DavidGriffith,0,1,1,non-member
Dealazer,1,0,0,non-member
Definit,1,0,0,non-member
DeftNerd,0,0,1,non-member
Delta1977,2,3,1,non-member
DeltaLeonis,1,0,0,non-member
Demontf,1,0,0,non-member
Derek701,2,2,2,non-member
DesWurstes,4,1,2,non-member
DevlinShepherd,0,1,0,non-member
DhinNeGeNe,1,0,0,non-member
Dhurv000077,1,0,0,non-member
Diablo-D3,1,0,0,non-member
DianJakaWidiawan,2,0,0,non-member
Diapolo,115,510,0,non-member
DinoStray,1,0,0,non-member
DobZombie,1,0,0,non-member
DocOBITCOIN,2,0,0,non-member
DomT4,0,6,4,non-member
DoooX,1,0,0,non-member
Dr-Nix,1,0,0,non-member
DrHaribo,3,0,0,non-member
DrakonAlpha,1,0,0,non-member
Drakonadrgora,1,0,0,non-member
Dreamsorcerer,2,0,0,non-member
Drehschloss,1,0,0,non-member
ENikS,2,17,13,non-member
EagleTM,1,0,0,non-member
Earlz,0,1,1,non-member
EasonWang01,1,0,0,non-member
EddieOne,1,0,0,non-member
EddyMSilva,1,0,0,non-member
EhVedadoOAnonimato,3,0,0,non-member
Elbandi,2,3,1,non-member
Empact,1,101,55,member
Enelar,3,2,0,non-member
ErdenCelik,0,1,0,non-member
EricJ2190,0,3,4,non-member
EskimoBob,1,0,0,non-member
EthanHeilman,0,8,8,non-member
EvertonMelo,0,1,0,non-member
ExperimentsAndIdeas,1,0,0,non-member
FIVIL,1,0,0,non-member
FTraian,1,0,0,non-member
FabioCarpi,10,0,0,non-member
FeedTheWeb,1,1,0,non-member
FelixWeis,1,1,1,non-member
Flavien,0,1,2,non-member
Flowdalic,2,5,3,non-member
FndNur1Labs,1,0,0,non-member
Folko85,1,0,0,non-member
FourthDr,1,0,0,non-member
Frankenmint,1,0,0,non-member
Frederic94500,2,0,0,non-member
FreekPaans,1,0,0,non-member
FrozenPrincess,4,0,0,non-member
Fuzzbawls,1,1,1,non-member
GCarneiroA,0,2,0,non-member
GIJensen,1,0,0,non-member
GJSchaller,1,0,0,non-member
GSPP,21,0,0,non-member
GSchrammel,0,1,0,non-member
GabrielDav,0,2,1,non-member
GabrielLeonte,1,0,0,non-member
Gabrola,1,1,0,non-member
GameKyuubi,1,0,0,non-member
GamerSg,0,1,1,non-member
GeorgeKimionis,1,0,0,non-member
Geremia,1,0,0,non-member
Gerjan77,0,1,0,non-member
GildedHonour,1,0,0,non-member
Giszmo,1,0,0,non-member
GlobalHelp,1,0,0,non-member
Gnappuraz,0,0,1,non-member
Gnonthgol,0,1,0,non-member
Godsunyar,1,0,0,non-member
GoodMirek,1,0,0,non-member
GreatSock,0,4,2,non-member
GreenReaper,1,0,0,non-member
Greg-Griffith,0,1,0,non-member
GusevVasily,1,0,0,non-member
GustavoRSSilva,1,0,0,non-member
HamishMacEwan,1,0,0,non-member
HandleX,1,0,0,non-member
Hanslo,2,0,0,non-member
Har01d,0,1,1,non-member
Hardcore-fs,2,0,0,non-member
Harold-Glitch,1,0,0,non-member
HashUnlimited,6,3,1,non-member
Hasimir,1,0,0,non-member
Herodes,1,0,0,non-member
Herodes-otc,1,0,0,non-member
HongPong,1,0,0,non-member
HostFat,1,1,1,non-member
HydraGene,1,0,0,non-member
IPGlider,0,1,0,non-member
ISibboI,1,0,0,non-member
Ilikenumber0,0,1,0,non-member
IndieRobert,1,0,0,non-member
Infernoman,1,0,0,non-member
InserirAquiNome,1,0,0,non-member
IvanaSu,1,0,0,non-member
J-Liu,1,0,0,non-member
JBaczuk,0,3,1,non-member
JamesDelmai1195,1,0,0,non-member
Jappiecr,1,0,0,non-member
JennHorng,0,1,0,non-member
JeremyRand,5,4,5,non-member
JeremyRubin,2,25,32,non-member
Jessygirl,1,0,0,non-member
JiechengZhao,1,0,0,non-member
JoelKatz,2,2,6,non-member
JohnDoesnt,1,0,0,non-member
JohnDolittle,0,7,10,non-member
JohnMaguire,0,2,0,non-member
JokerCatz,10,0,0,non-member
JornC,1,0,0,non-member
Joukehofman,4,0,0,non-member
Jpja,1,0,0,non-member
Junxin-Huo,1,0,0,non-member
JustinTArthur,1,0,0,non-member
KARMOBA,1,0,0,non-member
KES777,1,0,0,non-member
KOLANICH,1,0,0,non-member
Kangmo,0,3,0,non-member
KanoczTomas,2,0,0,non-member
KayleyWong,1,0,0,non-member
Kefkius,0,2,0,non-member
Kexkey,1,0,0,non-member
KibbledJiveElkZoo,2,2,1,non-member
Kimax89,1,1,0,non-member
KingMitch,1,0,0,non-member
KingfisherTao,1,0,0,non-member
Kirvx,2,0,0,non-member
Kjlawrence63,1,0,0,non-member
KlausT,1,0,0,non-member
KonstantinSchubert,1,0,0,non-member
Krellan,1,4,3,non-member
KrzaQ,1,0,0,non-member
KrzysiekJ,0,1,1,non-member
Kvaciral,0,2,2,non-member
L2G,3,1,1,non-member
LEscobar-Driver,1,0,0,non-member
LaThortilla,2,0,0,non-member
Lalitpatadiya12,1,0,0,non-member
Lat6819,1,0,0,non-member
LeandroJF,1,0,0,non-member
LeandroRocha84,0,1,0,non-member
Lefikantor,1,0,0,non-member
Leon-Zhang,1,0,0,non-member
Leviathn,0,2,0,non-member
Levino,2,0,0,non-member
Lewuathe,0,2,1,non-member
Lexx666,1,0,0,non-member
LifeDies,0,1,0,non-member
Linrono,1,1,1,non-member
LinuXperia,1,0,0,non-member
Lohoris,5,0,0,non-member
LongShao007,6,5,2,non-member
LordAndrei,1,0,0,non-member
LucaPaterlini,1,0,0,non-member
LukenShiro,1,0,0,non-member
LwandaMagere,1,0,0,non-member
M4v3R,1,0,0,non-member
MCFX2,0,1,1,non-member
MaDeRkAn,1,0,0,non-member
Macil,0,1,0,non-member
MaherBTA,1,0,0,non-member
Maivaza,0,1,0,non-member
MajorFireball,0,1,0,non-member
MarcoFalke,63,451,1153,member
MarkPfennig,2,0,0,non-member
Massimo80,1,0,0,non-member
MathyV,0,0,1,non-member
Matoking,0,2,6,non-member
MatrixFrog,1,0,0,non-member
MatthewLM,1,0,0,non-member
Matthias84,1,0,0,non-member
MattyAB,2,0,0,non-member
MaxBareiss,1,0,0,non-member
McRemco,1,0,0,non-member
Mellnik,2,0,0,non-member
MeniRosenfeld,1,0,0,non-member
MeshCollider,0,38,53,member
Michagogo,7,30,25,non-member
MichelChouinard,1,0,0,non-member
Michelle155,1,0,0,non-member
Mikerah,0,0,1,non-member
Mirobit,1,4,3,non-member
Mischi,0,3,2,non-member
MitchellCash,0,5,5,non-member
MobiusL,1,0,0,non-member
MojaPochi,0,1,0,non-member
MoonGem,1,0,0,non-member
Motoma,1,0,0,non-member
MrHash,1,0,0,non-member
MrKrzYch00,1,0,0,non-member
Mullick,1,0,0,non-member
Mysticsam,2,0,0,non-member
NYCBrit,2,0,0,non-member
Nathan2055,1,0,0,non-member
Nd60,1,0,0,non-member
Need4Video,0,2,1,non-member
Nerzahd,1,1,0,non-member
NewCryptoWorld,1,0,0,non-member
NickyYangYang,2,0,0,non-member
Nicolai-s,1,1,0,non-member
NicolasDorier,15,34,20,member
NikolaMandic,1,0,0,non-member
Nothing4You,0,0,1,non-member
Oddee,1,0,0,non-member
OldDeath,1,0,0,non-member
OmeGak,0,1,1,non-member
OpenGrid,1,0,0,non-member
Orktos,1,0,0,non-member
OronNadiv,1,0,0,non-member
OttoAllmendinger,0,1,6,non-member
Ov3rlo4d,0,1,1,non-member
OverQuantum,1,0,0,non-member
OverlordQ,1,0,0,non-member
Owennnnnn,1,0,0,non-member
PRabahy,9,5,3,non-member
PanderMusubi,1,0,0,non-member
Panzzy,1,0,0,non-member
PeacefulAnimal,1,0,0,non-member
PedroSwift,1,0,0,non-member
PersistantProblem,1,0,0,non-member
PierreRochard,0,6,4,non-member
Plaidxx,1,0,0,non-member
Plasma,2,0,0,non-member
PlentifulEarth,0,1,0,non-member
PochiRaccoon,1,0,0,non-member
PolarGo,2,0,0,non-member
Popkultur,1,0,0,non-member
Poseidonn77,1,0,0,non-member
Prabhat411,1,0,0,non-member
PrinceKK300188,2,0,0,non-member
Psynbiotik,1,0,0,non-member
PwnK,1,0,0,non-member
QubitPi,1,0,0,non-member
RHavar,28,5,3,non-member
RachelPriss,1,0,0,non-member
Raito00,1,0,0,non-member
Raize,1,0,0,non-member
Raulo,2,0,0,non-member
Rav3nPL,7,3,1,non-member
RavenZero,1,0,0,non-member
Rayserzor,1,0,0,non-member
Real-Duke,2,0,0,non-member
RenaKunisaki,1,0,0,non-member
ReneNyffenegger,0,6,1,non-member
Rezker,1,0,0,non-member
RossClelland,2,0,0,non-member
